uri,danceability,energy,key,key,loudness,loudness,mode,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,time_signature,num_samples,duration,analysis_sample_rate,analysis_channels,end_of_fade_in,start_of_fade_out,loudness,loudness,tempo,tempo,tempo_confidence,time_signature,time_signature,time_signature_confidence,key,key,key_confidence,mode,mode,mode_confidence
spotify:track:5ayybTSXNwcarDtxQKqvWX,0.47400000000000003,0.338,0,0,-11.528,-11.528,1,1,0.029900000000000003,0.648,0.0,0.13,0.81,154.596,154.596,audio_features,5ayybTSXNwcarDtxQKqvWX,https://api.spotify.com/v1/tracks/5ayybTSXNwcarDtxQKqvWX,https://api.spotify.com/v1/audio-analysis/5ayybTSXNwcarDtxQKqvWX,153933,4,4,3394230,153.93333,22050,1,0.38998,146.40181,-11.528,-11.528,154.596,154.596,0.621,4,4,0.189,0,0,0.594,1,1,0.669
spotify:track:006Ndmw2hHxvnLbJsBFnPx,0.518,0.06,10,10,-14.887,-14.887,1,1,0.0441,0.987,7.87e-06,0.161,0.336,127.87,127.87,audio_features,006Ndmw2hHxvnLbJsBFnPx,https://api.spotify.com/v1/tracks/006Ndmw2hHxvnLbJsBFnPx,https://api.spotify.com/v1/audio-analysis/006Ndmw2hHxvnLbJsBFnPx,216373,4,4,4771032,216.37334,22050,1,0.47016,198.64091,-14.887,-14.887,127.87,127.87,0.143,4,4,0.842,10,10,0.552,1,1,0.549
spotify:track:6xupOaBWORbDmakCdQwMRG,0.417,0.463,9,9,-8.027,-8.027,1,1,0.03,0.762,0.0,0.223,0.627,72.568,72.568,audio_features,6xupOaBWORbDmakCdQwMRG,https://api.spotify.com/v1/tracks/6xupOaBWORbDmakCdQwMRG,https://api.spotify.com/v1/audio-analysis/6xupOaBWORbDmakCdQwMRG,160240,4,4,3533292,160.24,22050,1,0.34304,156.64761,-8.027,-8.027,72.568,72.568,0.092,4,4,0.95,9,9,0.297,1,1,0.438
spotify:track:2tvt5K7y1gndmCgtIoLo1f,0.47100000000000003,0.337,3,3,-11.964,-11.964,1,1,0.0267,0.509,6.730000000000001e-05,0.216,0.634,70.49,70.49,audio_features,2tvt5K7y1gndmCgtIoLo1f,https://api.spotify.com/v1/tracks/2tvt5K7y1gndmCgtIoLo1f,https://api.spotify.com/v1/audio-analysis/2tvt5K7y1gndmCgtIoLo1f,158520,4,4,3495366,158.52,22050,1,1.00426,153.68707,-11.964,-11.964,70.49,70.49,0.266,4,4,0.923,3,3,0.345,1,1,0.467
spotify:track:1xVOttVNT27FBTD8iHjOfU,0.461,0.466,11,11,-9.627,-9.627,1,1,0.059800000000000006,0.86,2.76e-05,0.135,0.251,128.537,128.537,audio_features,1xVOttVNT27FBTD8iHjOfU,https://api.spotify.com/v1/tracks/1xVOttVNT27FBTD8iHjOfU,https://api.spotify.com/v1/audio-analysis/1xVOttVNT27FBTD8iHjOfU,132027,4,4,2911188,132.02667,22050,1,1.0327,120.33161,-9.627,-9.627,128.537,128.537,0.206,4,4,0.13,11,11,0.563,1,1,0.458
spotify:track:2qLxtO0iaFGI9x19vU3bDI,0.649,0.14400000000000002,4,4,-13.986,-13.986,1,1,0.041800000000000004,0.806,4.55e-06,0.105,0.458,125.74,125.74,audio_features,2qLxtO0iaFGI9x19vU3bDI,https://api.spotify.com/v1/tracks/2qLxtO0iaFGI9x19vU3bDI,https://api.spotify.com/v1/audio-analysis/2qLxtO0iaFGI9x19vU3bDI,183973,4,4,4056612,183.97333,22050,1,0.43438,178.72398,-13.986,-13.986,125.74,125.74,0.639,4,4,0.769,4,4,0.405,1,1,0.479
spotify:track:5msxn2HUcd83qOsuQW7Kdb,0.26,0.312,2,2,-9.614,-9.614,1,1,0.0303,0.9390000000000001,3.66e-05,0.1,0.396,174.392,174.392,audio_features,5msxn2HUcd83qOsuQW7Kdb,https://api.spotify.com/v1/tracks/5msxn2HUcd83qOsuQW7Kdb,https://api.spotify.com/v1/audio-analysis/5msxn2HUcd83qOsuQW7Kdb,144840,3,3,3193722,144.84,22050,1,0.35995,135.6684,-9.614,-9.614,174.392,174.392,0.393,3,3,0.944,2,2,0.721,1,1,0.657
spotify:track:02NKMA9cIkq6VuBNu9q9Wf,0.611,0.37,3,3,-11.548,-11.548,1,1,0.0345,0.707,2.98e-06,0.23,0.778,152.559,152.559,audio_features,02NKMA9cIkq6VuBNu9q9Wf,https://api.spotify.com/v1/tracks/02NKMA9cIkq6VuBNu9q9Wf,https://api.spotify.com/v1/audio-analysis/02NKMA9cIkq6VuBNu9q9Wf,141467,3,3,3119340,141.46667,22050,1,0.23293,133.09097,-11.548,-11.548,152.559,152.559,0.435,3,3,1.0,3,3,0.368,1,1,0.633
spotify:track:2vSxjnyrWrtxyfzO47EX6q,0.203,0.295,3,3,-11.155,-11.155,1,1,0.0323,0.92,2.05e-06,0.17300000000000001,0.28500000000000003,171.222,171.222,audio_features,2vSxjnyrWrtxyfzO47EX6q,https://api.spotify.com/v1/tracks/2vSxjnyrWrtxyfzO47EX6q,https://api.spotify.com/v1/audio-analysis/2vSxjnyrWrtxyfzO47EX6q,160933,3,3,3548580,160.93333,22050,1,2.10721,155.49243,-11.155,-11.155,171.222,171.222,0.103,3,3,0.93,3,3,0.636,1,1,0.442
spotify:track:7qoaMWT3eRCKG1RN6dVuOY,0.439,0.638,3,3,-6.859,-6.859,1,1,0.0307,0.707,0.0,0.17500000000000002,0.781,69.57,69.57,audio_features,7qoaMWT3eRCKG1RN6dVuOY,https://api.spotify.com/v1/tracks/7qoaMWT3eRCKG1RN6dVuOY,https://api.spotify.com/v1/audio-analysis/7qoaMWT3eRCKG1RN6dVuOY,144627,4,4,3189018,144.62666,22050,1,0.06259,137.10222,-6.859,-6.859,69.57,69.57,0.297,4,4,1.0,3,3,0.101,1,1,0.258
spotify:track:5kqXQHIgQ6UfFP9LfqPNgG,0.5760000000000001,0.34700000000000003,10,10,-18.755,-18.755,1,1,0.0317,0.852,0.599,0.124,0.85,114.883,114.883,audio_features,5kqXQHIgQ6UfFP9LfqPNgG,https://api.spotify.com/v1/tracks/5kqXQHIgQ6UfFP9LfqPNgG,https://api.spotify.com/v1/audio-analysis/5kqXQHIgQ6UfFP9LfqPNgG,144483,4,4,3185857,144.4833,22050,1,0.0,136.20245,-18.755,-18.755,114.883,114.883,0.807,4,4,0.984,10,10,0.574,1,1,0.389
spotify:track:603N4XGJUTbK760GLCvIIs,0.601,0.095,1,1,-18.478,-18.478,1,1,0.0374,0.93,0.000285,0.116,0.672,122.975,122.975,audio_features,603N4XGJUTbK760GLCvIIs,https://api.spotify.com/v1/tracks/603N4XGJUTbK760GLCvIIs,https://api.spotify.com/v1/audio-analysis/603N4XGJUTbK760GLCvIIs,144933,4,4,3195780,144.93333,22050,1,0.38957,132.7659,-18.478,-18.478,122.975,122.975,0.247,4,4,1.0,1,1,0.461,1,1,0.718
spotify:track:6fOxrKUo3f9OX2z6YrBpwy,0.635,0.888,1,1,-6.811,-6.811,1,1,0.0313,0.536,0.14400000000000002,0.0743,0.97,91.22,91.22,audio_features,6fOxrKUo3f9OX2z6YrBpwy,https://api.spotify.com/v1/tracks/6fOxrKUo3f9OX2z6YrBpwy,https://api.spotify.com/v1/audio-analysis/6fOxrKUo3f9OX2z6YrBpwy,125200,4,4,2760660,125.2,22050,1,0.98526,112.1698,-6.811,-6.811,91.22,91.22,0.372,4,4,1.0,1,1,0.928,1,1,0.884
spotify:track:4GvyP7CnBJEV2t7L7vOkjw,0.727,0.665,1,1,-6.453,-6.453,1,1,0.0352,0.653,0.233,0.34900000000000003,0.912,114.979,114.979,audio_features,4GvyP7CnBJEV2t7L7vOkjw,https://api.spotify.com/v1/tracks/4GvyP7CnBJEV2t7L7vOkjw,https://api.spotify.com/v1/audio-analysis/4GvyP7CnBJEV2t7L7vOkjw,150333,4,4,3314850,150.33333,22050,1,0.57016,141.88553,-6.453,-6.453,114.979,114.979,0.767,4,4,1.0,1,1,0.541,1,1,0.502
spotify:track:66eFGhs8LXeBgrXk0YgRJK,0.704,0.743,9,9,-12.069,-12.069,1,1,0.129,0.805,0.0,0.20500000000000002,0.92,177.362,177.362,audio_features,66eFGhs8LXeBgrXk0YgRJK,https://api.spotify.com/v1/tracks/66eFGhs8LXeBgrXk0YgRJK,https://api.spotify.com/v1/audio-analysis/66eFGhs8LXeBgrXk0YgRJK,151507,4,4,3340722,151.50667,22050,1,0.0,141.69977,-12.069,-12.069,177.362,177.362,0.367,4,4,1.0,9,9,0.654,1,1,0.511
spotify:track:44deyFcIU1jArZyFhOznh9,0.426,0.501,0,0,-9.529,-9.529,1,1,0.0325,0.601,0.0,0.507,0.855,197.453,197.453,audio_features,44deyFcIU1jArZyFhOznh9,https://api.spotify.com/v1/tracks/44deyFcIU1jArZyFhOznh9,https://api.spotify.com/v1/audio-analysis/44deyFcIU1jArZyFhOznh9,154973,3,3,3417162,154.97333,22050,1,0.39914,144.81705,-9.529,-9.529,197.453,197.453,0.215,3,3,1.0,0,0,1.0,1,1,0.811
spotify:track:3GI4aSJU8HrTM6msYXz1MT,0.584,0.869,0,0,-10.243,-10.243,1,1,0.0751,0.725,0.060500000000000005,0.9530000000000001,0.781,95.604,95.604,audio_features,3GI4aSJU8HrTM6msYXz1MT,https://api.spotify.com/v1/tracks/3GI4aSJU8HrTM6msYXz1MT,https://api.spotify.com/v1/audio-analysis/3GI4aSJU8HrTM6msYXz1MT,128755,4,4,2839042,128.75475,22050,1,0.0,128.75475,-10.243,-10.243,95.604,95.604,0.173,4,4,0.92,0,0,0.465,1,1,0.508
spotify:track:5xghdTMuqQPqtDJ0bn3zkn,0.455,0.327,7,7,-10.113,-10.113,1,1,0.0328,0.8300000000000001,0.0,0.09970000000000001,0.324,106.303,106.303,audio_features,5xghdTMuqQPqtDJ0bn3zkn,https://api.spotify.com/v1/tracks/5xghdTMuqQPqtDJ0bn3zkn,https://api.spotify.com/v1/audio-analysis/5xghdTMuqQPqtDJ0bn3zkn,173840,4,4,3833172,173.84,22050,1,2.19429,167.19528,-10.113,-10.113,106.303,106.303,0.404,4,4,0.254,7,7,0.706,1,1,0.607
spotify:track:0yK8sWD6cfrc7pGfaPIcZH,0.779,0.212,10,10,-9.759,-9.759,0,0,0.0362,0.759,0.9590000000000001,0.23500000000000001,0.444,94.675,94.675,audio_features,0yK8sWD6cfrc7pGfaPIcZH,https://api.spotify.com/v1/tracks/0yK8sWD6cfrc7pGfaPIcZH,https://api.spotify.com/v1/audio-analysis/0yK8sWD6cfrc7pGfaPIcZH,145333,3,3,3204600,145.33333,22050,1,3.41914,139.74348,-9.759,-9.759,94.675,94.675,0.253,3,3,0.931,10,10,0.153,0,0,0.408
spotify:track:3E5ndyOfO6vFDEIE42HA8o,0.549,0.529,3,3,-12.291,-12.291,0,0,0.108,0.76,0.0,0.20600000000000002,0.464,82.755,82.755,audio_features,3E5ndyOfO6vFDEIE42HA8o,https://api.spotify.com/v1/tracks/3E5ndyOfO6vFDEIE42HA8o,https://api.spotify.com/v1/audio-analysis/3E5ndyOfO6vFDEIE42HA8o,184333,4,4,4064550,184.33333,22050,1,2.61805,180.0069,-12.291,-12.291,82.755,82.755,0.072,4,4,1.0,3,3,0.0,0,0,0.156
