Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts,Image URL
1958-08-06,Poor Little Fool,Ricky Nelson,1,1,1,2,#
1958-08-13,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,1,2,1,3,https://charts-static.billboard.com/img/1958/08/domenico-modugno-x2d-180x180.jpg
1958-08-20,Little Star,The Elegants,1,2,1,4,https://charts-static.billboard.com/img/1958/08/the-elegants-vkn-106x106.jpg
1958-08-27,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,1,2,1,5,https://charts-static.billboard.com/img/1958/08/domenico-modugno-x2d-180x180.jpg
1958-09-03,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,1,1,1,6,https://charts-static.billboard.com/img/1958/08/domenico-modugno-x2d-180x180.jpg
1958-09-10,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,1,1,1,7,https://charts-static.billboard.com/img/1958/08/domenico-modugno-x2d-180x180.jpg
1958-09-17,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,1,1,1,8,https://charts-static.billboard.com/img/1958/08/domenico-modugno-x2d-180x180.jpg
1958-09-24,It's All In The Game,Tommy Edwards,1,3,1,7,https://charts-static.billboard.com/img/1958/08/tommy-edwards-cob-180x180.jpg
1958-10-01,It's All In The Game,Tommy Edwards,1,1,1,8,https://charts-static.billboard.com/img/1958/08/tommy-edwards-cob-180x180.jpg
1958-10-08,It's All In The Game,Tommy Edwards,1,1,1,9,https://charts-static.billboard.com/img/1958/08/tommy-edwards-cob-180x180.jpg
1958-10-15,It's All In The Game,Tommy Edwards,1,1,1,10,https://charts-static.billboard.com/img/1958/08/tommy-edwards-cob-180x180.jpg
1958-10-22,It's All In The Game,Tommy Edwards,1,1,1,11,https://charts-static.billboard.com/img/1958/08/tommy-edwards-cob-180x180.jpg
1958-10-29,It's All In The Game,Tommy Edwards,1,1,1,12,https://charts-static.billboard.com/img/1958/08/tommy-edwards-cob-180x180.jpg
1958-11-05,It's Only Make Believe,Conway Twitty,1,2,1,9,https://charts-static.billboard.com/img/1958/09/conway-twitty-sqb-106x106.jpg
1958-11-12,Tom Dooley,The Kingston Trio,1,2,1,8,https://charts-static.billboard.com/img/1958/09/the-kingston-trio-a8u-155x155.jpg
1958-11-19,It's Only Make Believe,Conway Twitty,1,2,1,11,https://charts-static.billboard.com/img/1958/09/conway-twitty-sqb-106x106.jpg
1958-11-26,To Know Him; Is To Love Him,The Teddy Bears,1,3,1,11,https://charts-static.billboard.com/img/1958/09/the-teddy-bears-z8u-180x180.jpg
1958-12-03,To Know Him; Is To Love Him,The Teddy Bears,1,1,1,12,https://charts-static.billboard.com/img/1958/09/the-teddy-bears-z8u-180x180.jpg
1958-12-10,To Know Him; Is To Love Him,The Teddy Bears,1,1,1,13,https://charts-static.billboard.com/img/1958/09/the-teddy-bears-z8u-180x180.jpg
1958-12-17,The Chipmunk Song,The Chipmunks With David Seville,1,10,1,4,https://charts-static.billboard.com/img/1958/12/alvin-and-the-chipmunks-2ls-91x91.jpg
1958-12-24,The Chipmunk Song,The Chipmunks With David Seville,1,1,1,5,https://charts-static.billboard.com/img/1958/12/alvin-and-the-chipmunks-2ls-91x91.jpg
1958-12-31,The Chipmunk Song,The Chipmunks With David Seville,1,1,1,6,https://charts-static.billboard.com/img/1958/12/alvin-and-the-chipmunks-2ls-91x91.jpg
1959-01-07,The Chipmunk Song,The Chipmunks With David Seville,1,1,1,7,https://charts-static.billboard.com/img/1958/12/alvin-and-the-chipmunks-2ls-91x91.jpg
1959-01-14,Smoke Gets In Your Eyes,The Platters,1,2,1,10,https://charts-static.billboard.com/img/1958/11/the-platters-la1-180x180.jpg
1959-01-21,Smoke Gets In Your Eyes,The Platters,1,1,1,11,https://charts-static.billboard.com/img/1958/11/the-platters-la1-180x180.jpg
1959-01-28,Smoke Gets In Your Eyes,The Platters,1,1,1,12,https://charts-static.billboard.com/img/1958/11/the-platters-la1-180x180.jpg
1959-02-04,Stagger Lee,Lloyd Price,1,5,1,10,https://charts-static.billboard.com/img/1958/12/lloyd-price-qu5-180x180.jpg
1959-02-11,Stagger Lee,Lloyd Price,1,1,1,11,https://charts-static.billboard.com/img/1958/12/lloyd-price-qu5-180x180.jpg
1959-02-18,Stagger Lee,Lloyd Price,1,1,1,12,https://charts-static.billboard.com/img/1958/12/lloyd-price-qu5-180x180.jpg
1959-02-25,Stagger Lee,Lloyd Price,1,1,1,13,https://charts-static.billboard.com/img/1958/12/lloyd-price-qu5-180x180.jpg
1959-03-04,Venus,Frankie Avalon,1,7,1,5,https://charts-static.billboard.com/img/1959/02/frankie-avalon-pf2-106x106.jpg
1959-03-11,Venus,Frankie Avalon,1,1,1,6,https://charts-static.billboard.com/img/1959/02/frankie-avalon-pf2-106x106.jpg
1959-03-18,Venus,Frankie Avalon,1,1,1,7,https://charts-static.billboard.com/img/1959/02/frankie-avalon-pf2-106x106.jpg
1959-03-25,Venus,Frankie Avalon,1,1,1,8,https://charts-static.billboard.com/img/1959/02/frankie-avalon-pf2-106x106.jpg
1959-04-01,Venus,Frankie Avalon,1,1,1,9,https://charts-static.billboard.com/img/1959/02/frankie-avalon-pf2-106x106.jpg
1959-04-08,Come Softly To Me,The Fleetwoods,1,2,1,6,https://charts-static.billboard.com/img/1959/03/the-fleetwoods-r0g-180x180.jpg
1959-04-15,Come Softly To Me,The Fleetwoods,1,1,1,7,https://charts-static.billboard.com/img/1959/03/the-fleetwoods-r0g-180x180.jpg
1959-04-22,Come Softly To Me,The Fleetwoods,1,1,1,8,https://charts-static.billboard.com/img/1959/03/the-fleetwoods-r0g-180x180.jpg
1959-04-29,Come Softly To Me,The Fleetwoods,1,1,1,9,https://charts-static.billboard.com/img/1959/03/the-fleetwoods-r0g-180x180.jpg
1959-05-06,The Happy Organ,"Dave ""Baby"" Cortez",1,2,1,9,#
1959-05-13,Kansas City,Wilbert Harrison,1,6,1,6,#
1959-05-20,Kansas City,Wilbert Harrison,1,1,1,7,#
1959-05-27,The Battle Of New Orleans,Johnny Horton,1,2,1,6,https://charts-static.billboard.com/img/1840/12/johnny-horton-g76-180x180.jpg
1959-06-03,The Battle Of New Orleans,Johnny Horton,1,1,1,7,https://charts-static.billboard.com/img/1840/12/johnny-horton-g76-180x180.jpg
1959-06-10,The Battle Of New Orleans,Johnny Horton,1,1,1,8,https://charts-static.billboard.com/img/1840/12/johnny-horton-g76-180x180.jpg
1959-06-17,The Battle Of New Orleans,Johnny Horton,1,1,1,9,https://charts-static.billboard.com/img/1840/12/johnny-horton-g76-180x180.jpg
1959-06-24,The Battle Of New Orleans,Johnny Horton,1,1,1,10,https://charts-static.billboard.com/img/1840/12/johnny-horton-g76-180x180.jpg
1959-07-01,The Battle Of New Orleans,Johnny Horton,1,1,1,11,https://charts-static.billboard.com/img/1840/12/johnny-horton-g76-180x180.jpg
1959-07-08,Lonely Boy,Paul Anka,1,2,1,7,https://charts-static.billboard.com/img/1959/06/paul-anka-6sq-180x180.jpg
1959-07-15,Lonely Boy,Paul Anka,1,1,1,8,https://charts-static.billboard.com/img/1959/06/paul-anka-6sq-180x180.jpg
1959-07-22,Lonely Boy,Paul Anka,1,1,1,9,https://charts-static.billboard.com/img/1959/06/paul-anka-6sq-180x180.jpg
1959-07-29,Lonely Boy,Paul Anka,1,1,1,10,https://charts-static.billboard.com/img/1959/06/paul-anka-6sq-180x180.jpg
1959-08-05,A Big Hunk O' Love,Elvis Presley With The Jordanaires,1,2,1,6,https://charts-static.billboard.com/img/1958/08/elvis-presley-yoq.jpg
1959-08-12,A Big Hunk O' Love,Elvis Presley With The Jordanaires,1,1,1,7,https://charts-static.billboard.com/img/1958/08/elvis-presley-yoq.jpg
1959-08-19,The Three Bells,The Browns,1,7,1,5,https://charts-static.billboard.com/img/1959/07/the-browns-26x-180x180.jpg
