Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts,Image URL,Track URI,Artist URI(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Added By,Added At,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Album Genres,Label,Copyrights
1959-12-09,Heartaches By The Number,Guy Mitchell,1,2,1,11,#,spotify:track:2SBQBV1atDy4tbEfGicT7u,spotify:artist:1YAtBHWaWzZnkaoSFHGTBV,spotify:album:3sNFBXnLNjwcsKEZGnaz1G,Heartaches By The Number,spotify:artist:1YAtBHWaWzZnkaoSFHGTBV,Guy Mitchell,2009-10-19,https://i.scdn.co/image/ab67616d0000b273ee642915bf7d424d4ad73548,1,1,153901,https://p.scdn.co/mp3-preview/2ff3470357bdc73a6308129edd834f90fa38e95f?cid=9950ac751e34487dbbe027c4fd7f8e99,False,15,GBQRF0832786,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"deep adult standards,rock-and-roll",0.518,0.556,5.0,-13.264,1.0,0.0479,0.526,3e-06,0.0853,0.736,171.496,4.0,,Vision 21 OMP,C 2009 One Media Publishing
1959-12-16,Heartaches By The Number,Guy Mitchell,1,1,1,12,#,spotify:track:2SBQBV1atDy4tbEfGicT7u,spotify:artist:1YAtBHWaWzZnkaoSFHGTBV,spotify:album:3sNFBXnLNjwcsKEZGnaz1G,Heartaches By The Number,spotify:artist:1YAtBHWaWzZnkaoSFHGTBV,Guy Mitchell,2009-10-19,https://i.scdn.co/image/ab67616d0000b273ee642915bf7d424d4ad73548,1,1,153901,https://p.scdn.co/mp3-preview/2ff3470357bdc73a6308129edd834f90fa38e95f?cid=9950ac751e34487dbbe027c4fd7f8e99,False,15,GBQRF0832786,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"deep adult standards,rock-and-roll",0.518,0.556,5.0,-13.264,1.0,0.0479,0.526,3e-06,0.0853,0.736,171.496,4.0,,Vision 21 OMP,C 2009 One Media Publishing
1959-12-23,Why,Frankie Avalon,1,2,1,6,https://charts-static.billboard.com/img/1959/11/frankie-avalon-pf2-106x106.jpg,spotify:track:0CRxGsJrwOMQUuTr4yT5mX,spotify:artist:5zNOI87gG4RttFmYAZWaxQ,spotify:album:1mh6ZNXSK0kCLebYxFXTSO,Beach Party,spotify:artist:5zNOI87gG4RttFmYAZWaxQ,Frankie Avalon,2013-12-04,https://i.scdn.co/image/ab67616d0000b273e1658430e8e657f6080840f4,1,8,157520,https://p.scdn.co/mp3-preview/e12928ee18e80c4636364c27f0ab4e4f1b07ef92?cid=9950ac751e34487dbbe027c4fd7f8e99,False,25,DELJ81352635,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"adult standards,bubblegum pop,doo-wop,easy listening,rock-and-roll,rockabilly",0.51,0.349,5.0,-8.677,1.0,0.0264,0.762,0.0,0.13,0.586,94.267,4.0,,Desert Sands Music,"C 2013 Desert Sands Music, P 2013 Desert Sands Music"
1959-12-30,El Paso,Marty Robbins,1,2,1,9,https://charts-static.billboard.com/img/1959/11/marty-robbins-7gn-180x180.jpg,spotify:track:4i1qdRTAL6dyDuKWZmbwzH,spotify:artist:0Xi59sEw38vRvwleSAVqoo,spotify:album:74rRdoFP8aO3ZhY8MeZK0m,The Story Of My Life: The Best Of Marty Robbins 1952-1965,spotify:artist:0Xi59sEw38vRvwleSAVqoo,Marty Robbins,1996-03-12,https://i.scdn.co/image/ab67616d0000b273de6a96b9d62a611e4ffc7756,1,10,261466,https://p.scdn.co/mp3-preview/ee656fa08f912d9adf4b0ee5137535b2a59fb0ea?cid=9950ac751e34487dbbe027c4fd7f8e99,False,23,USSM15900003,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"cowboy western,nashville sound",0.645,0.395,2.0,-12.511,1.0,0.0349,0.827,1.09e-06,0.203,0.657,105.968,3.0,,Columbia/Legacy,P (P) 1996 SONY BMG MUSIC ENTERTAINMENT
1960-01-06,El Paso,Marty Robbins,1,1,1,10,https://charts-static.billboard.com/img/1959/11/marty-robbins-7gn-180x180.jpg,spotify:track:4i1qdRTAL6dyDuKWZmbwzH,spotify:artist:0Xi59sEw38vRvwleSAVqoo,spotify:album:74rRdoFP8aO3ZhY8MeZK0m,The Story Of My Life: The Best Of Marty Robbins 1952-1965,spotify:artist:0Xi59sEw38vRvwleSAVqoo,Marty Robbins,1996-03-12,https://i.scdn.co/image/ab67616d0000b273de6a96b9d62a611e4ffc7756,1,10,261466,https://p.scdn.co/mp3-preview/ee656fa08f912d9adf4b0ee5137535b2a59fb0ea?cid=9950ac751e34487dbbe027c4fd7f8e99,False,23,USSM15900003,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"cowboy western,nashville sound",0.645,0.395,2.0,-12.511,1.0,0.0349,0.827,1.09e-06,0.203,0.657,105.968,3.0,,Columbia/Legacy,P (P) 1996 SONY BMG MUSIC ENTERTAINMENT
1960-02-03,Teen Angel,Mark Dinning,1,2,1,8,https://charts-static.billboard.com/img/1959/12/mark-dinning-xir-180x180.jpg,spotify:track:4PlfgBlKpZZ0LmAR5RgCxT,spotify:artist:55Rf9Kfqd30nmqaeEDMpic,spotify:album:1naxPxUqEpLyaUiKLnlvql,Teen Angel,spotify:artist:55Rf9Kfqd30nmqaeEDMpic,Mark Dinning,2012-03-16,https://i.scdn.co/image/ab67616d0000b273de0d87bbd7b2fad6193e4bd5,1,1,160320,,False,0,FR6V81290607,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"deep adult standards,doo-wop",0.447,0.182,0.0,-9.395,1.0,0.0367,0.704,0.0,0.142,0.33,95.094,4.0,,Golden Recordings,"C Golden Recordings, P Golden Recordings"
1960-02-10,Teen Angel,Mark Dinning,1,1,1,9,https://charts-static.billboard.com/img/1959/12/mark-dinning-xir-180x180.jpg,spotify:track:4PlfgBlKpZZ0LmAR5RgCxT,spotify:artist:55Rf9Kfqd30nmqaeEDMpic,spotify:album:1naxPxUqEpLyaUiKLnlvql,Teen Angel,spotify:artist:55Rf9Kfqd30nmqaeEDMpic,Mark Dinning,2012-03-16,https://i.scdn.co/image/ab67616d0000b273de0d87bbd7b2fad6193e4bd5,1,1,160320,,False,0,FR6V81290607,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"deep adult standards,doo-wop",0.447,0.182,0.0,-9.395,1.0,0.0367,0.704,0.0,0.142,0.33,95.094,4.0,,Golden Recordings,"C Golden Recordings, P Golden Recordings"
1960-05-18,Cathy's Clown,The Everly Brothers,1,2,1,6,https://charts-static.billboard.com/img/1960/04/the-everly-brothers-ak0-180x180.jpg,spotify:track:1MA9StLzlFftLbuqOmoWij,spotify:artist:4ACplpEqD6JIVgKrafauzs,spotify:album:3wWjXsqngYcPmd4hQzjNAD,The Golden Hits of The Everly Brothers,spotify:artist:4ACplpEqD6JIVgKrafauzs,The Everly Brothers,1962-06-01,https://i.scdn.co/image/ab67616d0000b2733b56057c89ad8a6fbb867a01,1,7,144013,https://p.scdn.co/mp3-preview/dd48ad45dc5bab0f297118d268644ce9e180ebda?cid=9950ac751e34487dbbe027c4fd7f8e99,False,50,USWB19903266,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"adult standards,folk rock,mellow gold,rock-and-roll,rockabilly,sunshine pop",0.497,0.582,7.0,-8.961,1.0,0.0339,0.412,0.0,0.372,0.866,119.808,4.0,,Warner Records,"C © 1962 Warner Records Inc., P ℗ 1962 Warner Records Inc."
1960-05-25,Cathy's Clown,The Everly Brothers,1,1,1,7,https://charts-static.billboard.com/img/1960/04/the-everly-brothers-ak0-180x180.jpg,spotify:track:1MA9StLzlFftLbuqOmoWij,spotify:artist:4ACplpEqD6JIVgKrafauzs,spotify:album:3wWjXsqngYcPmd4hQzjNAD,The Golden Hits of The Everly Brothers,spotify:artist:4ACplpEqD6JIVgKrafauzs,The Everly Brothers,1962-06-01,https://i.scdn.co/image/ab67616d0000b2733b56057c89ad8a6fbb867a01,1,7,144013,https://p.scdn.co/mp3-preview/dd48ad45dc5bab0f297118d268644ce9e180ebda?cid=9950ac751e34487dbbe027c4fd7f8e99,False,50,USWB19903266,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"adult standards,folk rock,mellow gold,rock-and-roll,rockabilly,sunshine pop",0.497,0.582,7.0,-8.961,1.0,0.0339,0.412,0.0,0.372,0.866,119.808,4.0,,Warner Records,"C © 1962 Warner Records Inc., P ℗ 1962 Warner Records Inc."
1960-06-01,Cathy's Clown,The Everly Brothers,1,1,1,8,https://charts-static.billboard.com/img/1960/04/the-everly-brothers-ak0-180x180.jpg,spotify:track:1MA9StLzlFftLbuqOmoWij,spotify:artist:4ACplpEqD6JIVgKrafauzs,spotify:album:3wWjXsqngYcPmd4hQzjNAD,The Golden Hits of The Everly Brothers,spotify:artist:4ACplpEqD6JIVgKrafauzs,The Everly Brothers,1962-06-01,https://i.scdn.co/image/ab67616d0000b2733b56057c89ad8a6fbb867a01,1,7,144013,https://p.scdn.co/mp3-preview/dd48ad45dc5bab0f297118d268644ce9e180ebda?cid=9950ac751e34487dbbe027c4fd7f8e99,False,50,USWB19903266,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"adult standards,folk rock,mellow gold,rock-and-roll,rockabilly,sunshine pop",0.497,0.582,7.0,-8.961,1.0,0.0339,0.412,0.0,0.372,0.866,119.808,4.0,,Warner Records,"C © 1962 Warner Records Inc., P ℗ 1962 Warner Records Inc."
