,Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts,Image URL,Track URI
0,1958-08-06,Poor Little Fool,Ricky Nelson,1,1,1,2,#,spotify:track:5ayybTSXNwcarDtxQKqvWX
1,1958-08-13,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,1,2,1,3,https://charts-static.billboard.com/img/1958/08/domenico-modugno-x2d-180x180.jpg,spotify:track:006Ndmw2hHxvnLbJsBFnPx
2,1958-08-20,Little Star,The Elegants,1,2,1,4,https://charts-static.billboard.com/img/1958/08/the-elegants-vkn-106x106.jpg,spotify:track:6xupOaBWORbDmakCdQwMRG
3,1958-08-27,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,1,2,1,5,https://charts-static.billboard.com/img/1958/08/domenico-modugno-x2d-180x180.jpg,spotify:track:006Ndmw2hHxvnLbJsBFnPx
4,1958-09-03,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,1,1,1,6,https://charts-static.billboard.com/img/1958/08/domenico-modugno-x2d-180x180.jpg,spotify:track:006Ndmw2hHxvnLbJsBFnPx
5,1958-09-10,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,1,1,1,7,https://charts-static.billboard.com/img/1958/08/domenico-modugno-x2d-180x180.jpg,spotify:track:006Ndmw2hHxvnLbJsBFnPx
6,1958-09-17,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,1,1,1,8,https://charts-static.billboard.com/img/1958/08/domenico-modugno-x2d-180x180.jpg,spotify:track:006Ndmw2hHxvnLbJsBFnPx
7,1958-09-24,It's All In The Game,Tommy Edwards,1,3,1,7,https://charts-static.billboard.com/img/1958/08/tommy-edwards-cob-180x180.jpg,spotify:track:2tvt5K7y1gndmCgtIoLo1f
8,1958-10-01,It's All In The Game,Tommy Edwards,1,1,1,8,https://charts-static.billboard.com/img/1958/08/tommy-edwards-cob-180x180.jpg,spotify:track:2tvt5K7y1gndmCgtIoLo1f
9,1958-10-08,It's All In The Game,Tommy Edwards,1,1,1,9,https://charts-static.billboard.com/img/1958/08/tommy-edwards-cob-180x180.jpg,spotify:track:2tvt5K7y1gndmCgtIoLo1f
10,1958-10-15,It's All In The Game,Tommy Edwards,1,1,1,10,https://charts-static.billboard.com/img/1958/08/tommy-edwards-cob-180x180.jpg,spotify:track:2tvt5K7y1gndmCgtIoLo1f
11,1958-10-22,It's All In The Game,Tommy Edwards,1,1,1,11,https://charts-static.billboard.com/img/1958/08/tommy-edwards-cob-180x180.jpg,spotify:track:2tvt5K7y1gndmCgtIoLo1f
12,1958-10-29,It's All In The Game,Tommy Edwards,1,1,1,12,https://charts-static.billboard.com/img/1958/08/tommy-edwards-cob-180x180.jpg,spotify:track:2tvt5K7y1gndmCgtIoLo1f
13,1958-11-05,It's Only Make Believe,Conway Twitty,1,2,1,9,https://charts-static.billboard.com/img/1958/09/conway-twitty-sqb-106x106.jpg,spotify:track:1xVOttVNT27FBTD8iHjOfU
14,1958-11-12,Tom Dooley,The Kingston Trio,1,2,1,8,https://charts-static.billboard.com/img/1958/09/the-kingston-trio-a8u-155x155.jpg,spotify:track:2qLxtO0iaFGI9x19vU3bDI
15,1958-11-19,It's Only Make Believe,Conway Twitty,1,2,1,11,https://charts-static.billboard.com/img/1958/09/conway-twitty-sqb-106x106.jpg,spotify:track:1xVOttVNT27FBTD8iHjOfU
16,1958-11-26,To Know Him; Is To Love Him,The Teddy Bears,1,3,1,11,https://charts-static.billboard.com/img/1958/09/the-teddy-bears-z8u-180x180.jpg,spotify:track:5msxn2HUcd83qOsuQW7Kdb
17,1958-12-03,To Know Him; Is To Love Him,The Teddy Bears,1,1,1,12,https://charts-static.billboard.com/img/1958/09/the-teddy-bears-z8u-180x180.jpg,spotify:track:5msxn2HUcd83qOsuQW7Kdb
18,1958-12-10,To Know Him; Is To Love Him,The Teddy Bears,1,1,1,13,https://charts-static.billboard.com/img/1958/09/the-teddy-bears-z8u-180x180.jpg,spotify:track:5msxn2HUcd83qOsuQW7Kdb
19,1958-12-17,The Chipmunk Song,The Chipmunks With David Seville,1,10,1,4,https://charts-static.billboard.com/img/1958/12/alvin-and-the-chipmunks-2ls-91x91.jpg,spotify:track:02NKMA9cIkq6VuBNu9q9Wf
20,1958-12-24,The Chipmunk Song,The Chipmunks With David Seville,1,1,1,5,https://charts-static.billboard.com/img/1958/12/alvin-and-the-chipmunks-2ls-91x91.jpg,spotify:track:02NKMA9cIkq6VuBNu9q9Wf
21,1958-12-31,The Chipmunk Song,The Chipmunks With David Seville,1,1,1,6,https://charts-static.billboard.com/img/1958/12/alvin-and-the-chipmunks-2ls-91x91.jpg,spotify:track:02NKMA9cIkq6VuBNu9q9Wf
