uri,Song,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,track_href,analysis_url,duration_ms,time_signature,num_samples,duration,analysis_sample_rate,analysis_channels,end_of_fade_in,start_of_fade_out,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence
spotify:track:5ayybTSXNwcarDtxQKqvWX,Poor Little Fool,Ricky Nelson,0.47400000000000003,0.338,0,-11.528,1,0.029900000000000003,0.648,0.0,0.13,0.81,154.596,5ayybTSXNwcarDtxQKqvWX,https://api.spotify.com/v1/tracks/5ayybTSXNwcarDtxQKqvWX,https://api.spotify.com/v1/audio-analysis/5ayybTSXNwcarDtxQKqvWX,153933,4,3394230,153.93333,22050,1,0.38998,146.40181,0.621,0.189,0.594,0.669
spotify:track:006Ndmw2hHxvnLbJsBFnPx,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,0.518,0.06,10,-14.887,1,0.0441,0.987,7.87e-06,0.161,0.336,127.87,006Ndmw2hHxvnLbJsBFnPx,https://api.spotify.com/v1/tracks/006Ndmw2hHxvnLbJsBFnPx,https://api.spotify.com/v1/audio-analysis/006Ndmw2hHxvnLbJsBFnPx,216373,4,4771032,216.37334,22050,1,0.47016,198.64091,0.143,0.842,0.552,0.549
spotify:track:6xupOaBWORbDmakCdQwMRG,Little Star,The Elegants,0.417,0.463,9,-8.027,1,0.03,0.762,0.0,0.223,0.627,72.568,6xupOaBWORbDmakCdQwMRG,https://api.spotify.com/v1/tracks/6xupOaBWORbDmakCdQwMRG,https://api.spotify.com/v1/audio-analysis/6xupOaBWORbDmakCdQwMRG,160240,4,3533292,160.24,22050,1,0.34304,156.64761,0.092,0.95,0.297,0.438
spotify:track:2tvt5K7y1gndmCgtIoLo1f,It's All In The Game,Tommy Edwards,0.47100000000000003,0.337,3,-11.964,1,0.0267,0.509,6.730000000000001e-05,0.216,0.634,70.49,2tvt5K7y1gndmCgtIoLo1f,https://api.spotify.com/v1/tracks/2tvt5K7y1gndmCgtIoLo1f,https://api.spotify.com/v1/audio-analysis/2tvt5K7y1gndmCgtIoLo1f,158520,4,3495366,158.52,22050,1,1.00426,153.68707,0.266,0.923,0.345,0.467
spotify:track:1xVOttVNT27FBTD8iHjOfU,It's Only Make Believe,Conway Twitty,0.461,0.466,11,-9.627,1,0.059800000000000006,0.86,2.76e-05,0.135,0.251,128.537,1xVOttVNT27FBTD8iHjOfU,https://api.spotify.com/v1/tracks/1xVOttVNT27FBTD8iHjOfU,https://api.spotify.com/v1/audio-analysis/1xVOttVNT27FBTD8iHjOfU,132027,4,2911188,132.02667,22050,1,1.0327,120.33161,0.206,0.13,0.563,0.458
spotify:track:2qLxtO0iaFGI9x19vU3bDI,Tom Dooley,The Kingston Trio,0.649,0.14400000000000002,4,-13.986,1,0.041800000000000004,0.806,4.55e-06,0.105,0.458,125.74,2qLxtO0iaFGI9x19vU3bDI,https://api.spotify.com/v1/tracks/2qLxtO0iaFGI9x19vU3bDI,https://api.spotify.com/v1/audio-analysis/2qLxtO0iaFGI9x19vU3bDI,183973,4,4056612,183.97333,22050,1,0.43438,178.72398,0.639,0.769,0.405,0.479
spotify:track:5msxn2HUcd83qOsuQW7Kdb,To Know Him; Is To Love Him,The Teddy Bears,0.26,0.312,2,-9.614,1,0.0303,0.9390000000000001,3.66e-05,0.1,0.396,174.392,5msxn2HUcd83qOsuQW7Kdb,https://api.spotify.com/v1/tracks/5msxn2HUcd83qOsuQW7Kdb,https://api.spotify.com/v1/audio-analysis/5msxn2HUcd83qOsuQW7Kdb,144840,3,3193722,144.84,22050,1,0.35995,135.6684,0.393,0.944,0.721,0.657
spotify:track:02NKMA9cIkq6VuBNu9q9Wf,The Chipmunk Song,The Chipmunks With David Seville,0.611,0.37,3,-11.548,1,0.0345,0.707,2.98e-06,0.23,0.778,152.559,02NKMA9cIkq6VuBNu9q9Wf,https://api.spotify.com/v1/tracks/02NKMA9cIkq6VuBNu9q9Wf,https://api.spotify.com/v1/audio-analysis/02NKMA9cIkq6VuBNu9q9Wf,141467,3,3119340,141.46667,22050,1,0.23293,133.09097,0.435,1.0,0.368,0.633
spotify:track:2vSxjnyrWrtxyfzO47EX6q,Smoke Gets In Your Eyes,The Platters,0.203,0.295,3,-11.155,1,0.0323,0.92,2.05e-06,0.17300000000000001,0.28500000000000003,171.222,2vSxjnyrWrtxyfzO47EX6q,https://api.spotify.com/v1/tracks/2vSxjnyrWrtxyfzO47EX6q,https://api.spotify.com/v1/audio-analysis/2vSxjnyrWrtxyfzO47EX6q,160933,3,3548580,160.93333,22050,1,2.10721,155.49243,0.103,0.93,0.636,0.442
spotify:track:7qoaMWT3eRCKG1RN6dVuOY,Stagger Lee,Lloyd Price,0.439,0.638,3,-6.859,1,0.0307,0.707,0.0,0.17500000000000002,0.781,69.57,7qoaMWT3eRCKG1RN6dVuOY,https://api.spotify.com/v1/tracks/7qoaMWT3eRCKG1RN6dVuOY,https://api.spotify.com/v1/audio-analysis/7qoaMWT3eRCKG1RN6dVuOY,144627,4,3189018,144.62666,22050,1,0.06259,137.10222,0.297,1.0,0.101,0.258
