,Song,Artist
0,poor little fool,ricky nelson
1,nel blu dipinto di,domenico modugno
2,little star,the elegants
7,it's all in the,tommy edwards
13,it's only make believe,conway twitty
14,tom dooley,the kingston trio
16,to know him is,the teddy bears
19,the chipmunk song,the chipmunks with david
23,smoke gets in your,the platters
26,stagger lee,lloyd price
30,venus,frankie avalon
35,come softly to me,the fleetwoods
39,the happy organ,dave baby cortez
40,kansas city,wilbert harrison
42,the battle of new,johnny horton
48,lonely boy,paul anka
52,a big hunk o',elvis presley with the
54,the three bells,the browns
58,sleep walk,santo johnny
60,mack the knife,bobby darin
66,mr. blue,the fleetwoods
70,heartaches by the number,guy mitchell
72,why,frankie avalon
73,el paso,marty robbins
75,running bear,johnny preston
78,teen angel,mark dinning
80,the theme from a,percy faith and his
89,stuck on you,elvis presley with the
93,cathy's clown,the everly brothers
98,everybody's somebody's fool,connie francis
100,alley-oop,hollywood argyles
101,i'm sorry,brenda lee
104,itsy bitsy teenie weenie,brian hyland
105,it's now or never,elvis presley with the
110,the twist,chubby checker
111,my heart has a,connie francis
113,mr. custer,larry verne
114,save the last dance,the drifters
115,i want to be,brenda lee
118,georgia on my mind,ray charles
119,stay,maurice williams the zodiacs
120,are you lonesome to-night,elvis presley with the
126,wonderland by night,bert kaempfert and his
129,will you love me,the shirelles
131,calcutta,lawrence welk and his
133,pony time,chubby checker
136,surrender,elvis presley with the
138,blue moon,the marcels
141,runaway,del shannon
145,mother-in-law,ernie k-doe
146,travelin' man,ricky nelson
147,running scared,roy orbison
149,moody river,pat boone
150,quarter to three,u.s. bonds
152,tossin' and turnin',bobby lewis
159,wooden heart,joe dowell
160,michael,the highwaymen
162,take good care of,bobby vee
165,hit the road jack,ray charles and his
167,runaround sue,dion
169,big bad john,jimmy dean
174,please mr. postman,the marvelettes
175,the lion sleeps tonight,the tokens
181,peppermint twist - part,joey dee the starliters
184,duke of earl,gene chandler
187,hey baby,bruce channel
190,don't break the heart,connie francis
191,johnny angel,shelley fabares
193,good luck charm,elvis presley with the
195,soldier boy,the shirelles
198,stranger on the shore,mr. acker bilk
199,i can't stop loving,ray charles
204,the stripper,david rose and his
205,roses are red,bobby vinton
209,breaking up is hard,neil sedaka
211,the loco-motion,little eva
212,sheila,tommy roe
214,sherry,the 4 seasons
219,monster mash,bobby boris pickett and
221,he's a rebel,the crystals
223,big girls don't cry,the 4 seasons
228,telstar,the tornadoes
231,go away little girl,steve lawrence
233,walk right in,the rooftop singers
235,hey paula,paul and paula
238,walk like a man,the 4 seasons
241,our day will come,ruby and the romantics
242,he's so fine,the chiffons
246,i will follow him,little peggy march
249,if you wanna be,jimmy soul
251,it's my party,lesley gore
253,sukiyaki,kyu sakamoto
256,easier said than done,the essex
258,surf city,jan dean
260,so much in love,the tymes
261,fingertips - pt 2,little stevie wonder
264,my boyfriend's back,the angels
267,blue velvet,bobby vinton
270,sugar shack,jimmy gilmer and the
275,deep purple,nino tempo april stevens
276,i'm leaving it up,dale grace
278,dominique,the singing nun
282,there i've said it,bobby vinton
286,i want to hold,the beatles
293,she loves you,the beatles
294,can't buy me love,the beatles
299,hello dolly,louis armstrong and the
300,my guy,mary wells
302,love me do,the beatles
303,chapel of love,the dixie cups
306,a world without love,peter and gordon
307,i get around,the beach boys
309,rag doll,the 4 seasons
311,a hard day's night,the beatles
313,everybody loves somebody,dean martin
314,where did our love,the supremes
316,house of the rising,the animals
319,oh pretty woman,roy orbison and the
322,do wah diddy diddy,manfred mann
324,baby love,the supremes
328,leader of the pack,the shangri-las
329,ringo,lorne greene
330,mr. lonely,bobby vinton
331,come see about me,the supremes
332,i feel fine,the beatles
336,downtown,petula clark
338,you've lost that lovin',the righteous brothers
340,this diamond ring,gary lewis and the
342,my girl,the temptations
343,eight days a week,the beatles
345,stop in the name,the supremes
347,i'm telling you now,freddie and the dreamers
349,game of love,wayne fontana the mindbenders
350,mrs. brown you've got,herman's hermits
353,ticket to ride,the beatles
354,help me rhonda,the beach boys
356,back in my arms,the supremes
357,i can't help myself,four tops
358,mr. tambourine man,the byrds
360,satisfaction,the rolling stones
364,i'm henry viii i,herman's hermits
365,i got you babe,sonny cher
368,help,the beatles
371,eve of destruction,barry mcguire
372,hang on sloopy,the mccoys
373,yesterday,the beatles
377,get off of my,the rolling stones
379,i hear a symphony,the supremes
381,turn turn turn,the byrds
384,over and over,the dave clark five
385,the sound of silence,simon garfunkel
386,we can work it,the beatles
390,my love,petula clark
392,lightnin' strikes,lou christie
393,these boots are made,nancy sinatra
394,the ballad of the,ssgt barry sadler
399,soul and inspiration,the righteous brothers
402,good lovin',the young rascals
403,monday monday,the mamas the papas
406,when a man loves,percy sledge
408,paint it black,the rolling stones
410,paperback writer,the beatles
411,strangers in the night,frank sinatra
413,hanky panky,tommy james and the
415,wild thing,the troggs
417,summer in the city,the lovin' spoonful
420,sunshine superman,donovan
421,you can't hurry love,the supremes
423,cherish,the association
426,reach out i'll be,four tops
428,96 tears,the mysterians
429,last train to clarksville,the monkees
430,poor side of town,johnny rivers
431,you keep me hangin',the supremes
433,winchester cathedral,the new vaudeville band
434,good vibrations,the beach boys
437,i'm a believer,the monkees
444,kind of a drag,the buckinghams
446,ruby tuesday,the rolling stones
447,love is here and,the supremes
448,penny lane,the beatles
449,happy together,the turtles
452,somethin' stupid,nancy sinatra frank sinatra
456,the happening,the supremes
457,groovin',the young rascals
459,respect,aretha franklin
463,windy,the association
467,light my fire,the doors
470,all you need is,the beatles
471,ode to billie joe,bobbie gentry
475,the letter,the box tops
479,to sir with love,lulu
484,incense and peppermints,strawberry alarm clock
485,daydream believer,the monkees
489,hello goodbye,the beatles
492,judy in disguise,john fred and the
494,green tambourine,the lemon pipers
495,love is blue,paul mauriat and his
500,the dock of the,otis redding
504,honey,bobby goldsboro
509,tighten up,archie bell the drells
511,mrs. robinson,simon garfunkel
514,this guy's in love,herb alpert
518,grazing in the grass,hugh masekela
520,hello i love you,the doors
522,people got to be,the rascals
527,harper valley p.t.a.,jeannie c. riley
528,hey jude,the beatles
537,love child,diana ross the supremes
539,i heard it through,marvin gaye
546,crimson and clover,tommy james and the
