Song,Artist,Track ID,Artist ID,Album ID
Poor Little Fool,Ricky Nelson,5ayybTSXNwcarDtxQKqvWX,73sSFVlM6pkweLXE8qw1OS,08TlIPCh7esOAnqBvlmkEt
Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,006Ndmw2hHxvnLbJsBFnPx,4llklDtTTyMYMY2LfFOkTI,3RWfLO5X2CSxBI5oH84mra
Little Star,The Elegants,6xupOaBWORbDmakCdQwMRG,7bNoMfBqbaLJrfH3Vw1q6L,7mFC0w7g7lopYnuQeZH7rd
It's All In The Game,Tommy Edwards,2tvt5K7y1gndmCgtIoLo1f,1ObAu0tz0NlOI6FNHTXchD,5Pm6JmFRagCaNbD5OLlG3d
It's Only Make Believe,Conway Twitty,1xVOttVNT27FBTD8iHjOfU,7gi3jmwpUpNWdswT8eEprF,3niZ3iipFSFzO6335VBZiP
Tom Dooley,The Kingston Trio,2qLxtO0iaFGI9x19vU3bDI,3qtcbDvdIgQOXkPbtRvBaQ,3FUqOoYR8ZdWPUwPMVYSDi
To Know Him; Is To Love Him,The Teddy Bears,5msxn2HUcd83qOsuQW7Kdb,4JFunELhYa3ZrJnSWAZl3W,6gazFgNMWCG9mzuy43aNg0
The Chipmunk Song,The Chipmunks With David Seville,02NKMA9cIkq6VuBNu9q9Wf,1SCWcYnoEh1978ycTDhZoW,3X7elwYMwXz3flSYNtSfHQ
Smoke Gets In Your Eyes,The Platters,2vSxjnyrWrtxyfzO47EX6q,6KWcxMWVNVIYbdOQyJtsSy,3hf24dCfmmDihusVyBLliZ
Stagger Lee,Lloyd Price,7qoaMWT3eRCKG1RN6dVuOY,3iOE5ItEv5xr9fmKi7GNh2,0QutFp2d494sxD57IbvfGu
Venus,Frankie Avalon,5kqXQHIgQ6UfFP9LfqPNgG,5zNOI87gG4RttFmYAZWaxQ,3nDCuyCQqcqVbXprUy61CF
Come Softly To Me,The Fleetwoods,603N4XGJUTbK760GLCvIIs,673J686eeEXMYJorgQ70lX,53Z6bXyBJ7tlRtMettF6Uq
The Happy Organ,"Dave ""Baby"" Cortez",6fOxrKUo3f9OX2z6YrBpwy,7fGPj0sGEcZACQTUVbz3NY,6D0bih85tthwFbvN0PZltU
Kansas City,Wilbert Harrison,4GvyP7CnBJEV2t7L7vOkjw,7rETVFaF9VOFPmmzsY3kO6,1Y1TBAbgOzreTno3UasaQX
The Battle Of New Orleans,Johnny Horton,66eFGhs8LXeBgrXk0YgRJK,1bBZcz4jP7CoPlqpCFh4gz,7G7QvJcUOGbzwnOpxLOVRp
Lonely Boy,Paul Anka,44deyFcIU1jArZyFhOznh9,7ceUfdWq2t5nbatS6ollHh,4avsZn38cgMEmxmGdpb4lp
A Big Hunk O' Love,Elvis Presley With The Jordanaires,3GI4aSJU8HrTM6msYXz1MT,43ZHCT0cAZBISjO8DG9PnE,6AUihdKWdT5evm91G7wirB
The Three Bells,The Browns,5xghdTMuqQPqtDJ0bn3zkn,6GDSMFwAQBfnrrZf981Yji,7IsKfmOaFBk2o6XZQPGwyh
Sleep Walk,Santo & Johnny,0yK8sWD6cfrc7pGfaPIcZH,4hGjngc0tPOBwTgTPci3IK,5toxcaerHCTPDtIcQOTRx8
Mack The Knife,Bobby Darin,3E5ndyOfO6vFDEIE42HA8o,0EodhzA6yW1bIdD5B4tcmJ,5MsJK0kqiYIJDmd3cjkGMn
Mr. Blue,The Fleetwoods,6bnFjTW3EnMG4BwreDnSHK,673J686eeEXMYJorgQ70lX,53Z6bXyBJ7tlRtMettF6Uq
Heartaches By The Number,Guy Mitchell,0mmveflIg5uKskiCOdRV3e,1YAtBHWaWzZnkaoSFHGTBV,6tDS6H71BIUdA3UAfk2USN
Why,Frankie Avalon,3PNLqKBbWaTBGt9Y1lM1eB,5zNOI87gG4RttFmYAZWaxQ,3nDCuyCQqcqVbXprUy61CF
El Paso,Marty Robbins,4f8hBeMXMvssn6HtFAtblo,0Xi59sEw38vRvwleSAVqoo,3kQpBS26lAj0A0VGl1snRl
Running Bear,Johnny Preston,1mE8QtaSFxEQnr3SgxmIRf,1B8n8vtEeexQ5NKehHTkeo,2nqLruojLXh11mAl696aNt
Teen Angel,Mark Dinning,7aNVTsJFlnaUTEBO6fvWho,55Rf9Kfqd30nmqaeEDMpic,0iC3EDnTNvp0lbDKAhcLJl
"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,6zwvB879PJSpTyFcg2wwnL,24DQLSng7bKZD4GXLIaQbv,0XLV6vIukKpejiSTAaSPPi
Stuck On You,Elvis Presley With The Jordanaires,7bA1DHtoJAvqyL42gHwOLa,43ZHCT0cAZBISjO8DG9PnE,0QVoYzGd1p8Z3ohEaM0lsc
Cathy's Clown,The Everly Brothers,27bw4i8LnECzVlbMZ4kFHw,4ACplpEqD6JIVgKrafauzs,4Nro0nGcWVybv8cZXmSU4P
Everybody's Somebody's Fool,Connie Francis,1qC8zQRrdkZCwzQ5N4ECoD,3EY5DxGdy7x4GelivOjS2Q,5LzeNR0ssOIfaUpNQbthH9
Alley-Oop,Hollywood Argyles,2bgl6miORpyE4ql0gl7KHR,2QJGwjXfe7IOoBFcrpzOTt,36pyw1RAuL0VU58pqTlxSg
I'm Sorry,Brenda Lee,4LJcNiq2pBb8OeqrGdBJQw,4cPHsZM98sKzmV26wlwD2W,3DzEQCPg0Irz2vWUaBSEkm
Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland,4aTCNddtjztjuK2EOgz7ZZ,6YROFUbu5zRCHi2xkir5pk,4RoVkWn8cGBtItzS5ah697
It's Now Or Never,Elvis Presley With The Jordanaires,6yP3V5FXNNJU8Z441vxhCV,43ZHCT0cAZBISjO8DG9PnE,0gv5aiVS1WBUZOKeb7YawE
The Twist,Chubby Checker,4YCnTYbq3oL1Lqpyxg33CU,7qQJQ3YtcGlqaLg5tcypN2,0YgWInMbwTXPCaHRUHqoeY
My Heart Has A Mind Of Its Own,Connie Francis,7qinPLZ41lgIGuT40EAFs0,3EY5DxGdy7x4GelivOjS2Q,5LzeNR0ssOIfaUpNQbthH9
Mr. Custer,Larry Verne,0afR4FfSwgg5QFF1Wpuwil,6vWMWDRy2Jbshg42p1Iuzg,6FaTus89ZtT8jtQnoutlqr
Save The Last Dance For Me,The Drifters,391TUcoPonqYykPkSZ5Z9U,1FqqOl9itIUpXr4jZPIVoT,6sWL3HHXGkqlST0rfWXvBU
I Want To Be Wanted,Brenda Lee,03cB3gd91JsP3bCERC6Lmf,4cPHsZM98sKzmV26wlwD2W,7Kh2ce3pejIOQ9izmtFDSE
Georgia On My Mind,Ray Charles,6yMGxqKj0218mFR5KqsMRq,1eYhYunlNJlDoQhtYBvPsi,7gvxyetkX6vkoMyDkDM6ls
