Date,Song,Artist,Weeks in Charts,Track ID
1958-08-06,Poor Little Fool,Ricky Nelson,2,5ayybTSXNwcarDtxQKqvWX
1958-08-13,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,3,006Ndmw2hHxvnLbJsBFnPx
1958-08-20,Little Star,The Elegants,4,6xupOaBWORbDmakCdQwMRG
1958-08-27,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,5,006Ndmw2hHxvnLbJsBFnPx
1958-09-03,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,6,006Ndmw2hHxvnLbJsBFnPx
1958-09-10,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,7,006Ndmw2hHxvnLbJsBFnPx
1958-09-17,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,8,006Ndmw2hHxvnLbJsBFnPx
1958-09-24,It's All In The Game,Tommy Edwards,7,2tvt5K7y1gndmCgtIoLo1f
1958-10-01,It's All In The Game,Tommy Edwards,8,2tvt5K7y1gndmCgtIoLo1f
1958-10-08,It's All In The Game,Tommy Edwards,9,2tvt5K7y1gndmCgtIoLo1f
1958-10-15,It's All In The Game,Tommy Edwards,10,2tvt5K7y1gndmCgtIoLo1f
1958-10-22,It's All In The Game,Tommy Edwards,11,2tvt5K7y1gndmCgtIoLo1f
1958-10-29,It's All In The Game,Tommy Edwards,12,2tvt5K7y1gndmCgtIoLo1f
1958-11-05,It's Only Make Believe,Conway Twitty,9,1xVOttVNT27FBTD8iHjOfU
1958-11-12,Tom Dooley,The Kingston Trio,8,2qLxtO0iaFGI9x19vU3bDI
1958-11-19,It's Only Make Believe,Conway Twitty,11,1xVOttVNT27FBTD8iHjOfU
1958-11-26,To Know Him; Is To Love Him,The Teddy Bears,11,5msxn2HUcd83qOsuQW7Kdb
1958-12-03,To Know Him; Is To Love Him,The Teddy Bears,12,5msxn2HUcd83qOsuQW7Kdb
1958-12-10,To Know Him; Is To Love Him,The Teddy Bears,13,5msxn2HUcd83qOsuQW7Kdb
1958-12-17,The Chipmunk Song,The Chipmunks With David Seville,4,02NKMA9cIkq6VuBNu9q9Wf
1958-12-24,The Chipmunk Song,The Chipmunks With David Seville,5,02NKMA9cIkq6VuBNu9q9Wf
1958-12-31,The Chipmunk Song,The Chipmunks With David Seville,6,02NKMA9cIkq6VuBNu9q9Wf
1959-01-07,The Chipmunk Song,The Chipmunks With David Seville,7,02NKMA9cIkq6VuBNu9q9Wf
1959-01-14,Smoke Gets In Your Eyes,The Platters,10,2vSxjnyrWrtxyfzO47EX6q
1959-01-21,Smoke Gets In Your Eyes,The Platters,11,2vSxjnyrWrtxyfzO47EX6q
1959-01-28,Smoke Gets In Your Eyes,The Platters,12,2vSxjnyrWrtxyfzO47EX6q
1959-02-04,Stagger Lee,Lloyd Price,10,7qoaMWT3eRCKG1RN6dVuOY
1959-02-11,Stagger Lee,Lloyd Price,11,7qoaMWT3eRCKG1RN6dVuOY
1959-02-18,Stagger Lee,Lloyd Price,12,7qoaMWT3eRCKG1RN6dVuOY
1959-02-25,Stagger Lee,Lloyd Price,13,7qoaMWT3eRCKG1RN6dVuOY
1959-03-04,Venus,Frankie Avalon,5,5kqXQHIgQ6UfFP9LfqPNgG
1959-03-11,Venus,Frankie Avalon,6,5kqXQHIgQ6UfFP9LfqPNgG
1959-03-18,Venus,Frankie Avalon,7,5kqXQHIgQ6UfFP9LfqPNgG
