date,rank,Song,Artist,last-week,peak-rank,weeks-on-board,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,track_href,analysis_url,duration_ms,time_signature,num_samples,duration,analysis_sample_rate,analysis_channels,end_of_fade_in,start_of_fade_out,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence,track_id,type
2021-11-06,1,Easy On Me,Adele,1.0,1,3,spotify:track:46IZ0fSY2mpAiktS3KOqds,0.604,0.366,5.0,-7.519,1.0,0.0282,0.578,0.0,0.133,0.13,141.981,46IZ0fSY2mpAiktS3KOqds,https://api.spotify.com/v1/tracks/46IZ0fSY2mpAiktS3KOqds,https://api.spotify.com/v1/audio-analysis/46IZ0fSY2mpAiktS3KOqds,224695.0,4.0,4954520.0,224.69478,22050.0,1.0,0.26807,209.58913,0.432,1.0,0.545,0.58,,
2021-10-30,1,Easy On Me,Adele,68.0,1,2,spotify:track:46IZ0fSY2mpAiktS3KOqds,0.604,0.366,5.0,-7.519,1.0,0.0282,0.578,0.0,0.133,0.13,141.981,46IZ0fSY2mpAiktS3KOqds,https://api.spotify.com/v1/tracks/46IZ0fSY2mpAiktS3KOqds,https://api.spotify.com/v1/audio-analysis/46IZ0fSY2mpAiktS3KOqds,224695.0,4.0,4954520.0,224.69478,22050.0,1.0,0.26807,209.58913,0.432,1.0,0.545,0.58,,
2021-10-23,1,Industry Baby,Lil Nas X & Jack Harlow,2.0,1,12,spotify:track:27NovPIUIRrOZoCHxABJwK,0.736,0.704,3.0,-7.409,0.0,0.0615,0.0203,0.0,0.0501,0.894,149.995,27NovPIUIRrOZoCHxABJwK,https://api.spotify.com/v1/tracks/27NovPIUIRrOZoCHxABJwK,https://api.spotify.com/v1/audio-analysis/27NovPIUIRrOZoCHxABJwK,212000.0,4.0,4674600.0,212.0,22050.0,1.0,0.0,212.0,0.643,1.0,0.037,0.126,,
2021-10-16,1,Stay,The Kid LAROI & Justin Bieber,2.0,1,13,spotify:track:567e29TDzLwZwfDuEpGTwo,0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,567e29TDzLwZwfDuEpGTwo,https://api.spotify.com/v1/tracks/567e29TDzLwZwfDuEpGTwo,https://api.spotify.com/v1/audio-analysis/567e29TDzLwZwfDuEpGTwo,141806.0,4.0,3126817.0,141.80576,22050.0,1.0,0.2327,133.36382,0.571,1.0,0.568,0.591,,
2021-10-09,1,My Universe,Coldplay x BTS,,1,1,spotify:track:46HNZY1i7O6jwTA7Slo2PI,0.5730000000000001,0.711,1.0,-6.268,0.0,0.0406,0.0114,0.0,0.328,0.47,105.006,46HNZY1i7O6jwTA7Slo2PI,https://api.spotify.com/v1/tracks/46HNZY1i7O6jwTA7Slo2PI,https://api.spotify.com/v1/audio-analysis/46HNZY1i7O6jwTA7Slo2PI,226198.0,4.0,4987666.0,226.198,22050.0,1.0,0.0,213.54231,0.306,1.0,0.232,0.407,,
2021-10-02,1,Stay,The Kid LAROI & Justin Bieber,1.0,1,11,spotify:track:567e29TDzLwZwfDuEpGTwo,0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,567e29TDzLwZwfDuEpGTwo,https://api.spotify.com/v1/tracks/567e29TDzLwZwfDuEpGTwo,https://api.spotify.com/v1/audio-analysis/567e29TDzLwZwfDuEpGTwo,141806.0,4.0,3126817.0,141.80576,22050.0,1.0,0.2327,133.36382,0.571,1.0,0.568,0.591,,
2021-09-25,1,Stay,The Kid LAROI & Justin Bieber,6.0,1,10,spotify:track:567e29TDzLwZwfDuEpGTwo,0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,567e29TDzLwZwfDuEpGTwo,https://api.spotify.com/v1/tracks/567e29TDzLwZwfDuEpGTwo,https://api.spotify.com/v1/audio-analysis/567e29TDzLwZwfDuEpGTwo,141806.0,4.0,3126817.0,141.80576,22050.0,1.0,0.2327,133.36382,0.571,1.0,0.568,0.591,,
2021-09-18,1,Way 2 Sexy,Drake Featuring Future & Young Thug,,1,1,spotify:track:0k1WUmIRnG3xU6fvvDVfRG,0.803,0.597,11.0,-6.035,0.0,0.141,0.000619,4.5e-06,0.323,0.331,136.008,0k1WUmIRnG3xU6fvvDVfRG,https://api.spotify.com/v1/tracks/0k1WUmIRnG3xU6fvvDVfRG,https://api.spotify.com/v1/audio-analysis/0k1WUmIRnG3xU6fvvDVfRG,257605.0,4.0,5680188.0,257.6049,22050.0,1.0,0.0,236.26305,0.921,0.903,0.784,0.507,,
2021-09-11,1,Butter,BTS,7.0,1,15,spotify:track:6jjYDGxVJsWS0a5wlVF5vS,0.759,0.459,8.0,-5.187,1.0,0.0948,0.00323,0.0,0.0788,0.6950000000000001,109.997,6jjYDGxVJsWS0a5wlVF5vS,https://api.spotify.com/v1/tracks/6jjYDGxVJsWS0a5wlVF5vS,https://api.spotify.com/v1/audio-analysis/6jjYDGxVJsWS0a5wlVF5vS,164952.0,4.0,3637199.0,164.95235,22050.0,1.0,0.21478,161.12328,0.763,0.954,0.366,0.506,,
2021-09-04,1,Stay,The Kid LAROI & Justin Bieber,1.0,1,7,spotify:track:567e29TDzLwZwfDuEpGTwo,0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,567e29TDzLwZwfDuEpGTwo,https://api.spotify.com/v1/tracks/567e29TDzLwZwfDuEpGTwo,https://api.spotify.com/v1/audio-analysis/567e29TDzLwZwfDuEpGTwo,141806.0,4.0,3126817.0,141.80576,22050.0,1.0,0.2327,133.36382,0.571,1.0,0.568,0.591,,
