track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,duration,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence
5ayybTSXNwcarDtxQKqvWX,0.474,0.338,0,-11.528,1,0.0299,0.648,0.0,0.13,0.81,154.596,153933,4,153.93333,0.621,0.189,0.594,0.669
006Ndmw2hHxvnLbJsBFnPx,0.518,0.06,10,-14.887,1,0.0441,0.987,7.87e-06,0.161,0.336,127.87,216373,4,216.37334,0.143,0.842,0.552,0.549
6xupOaBWORbDmakCdQwMRG,0.417,0.463,9,-8.027,1,0.03,0.762,0.0,0.223,0.627,72.568,160240,4,160.24,0.092,0.95,0.297,0.438
2tvt5K7y1gndmCgtIoLo1f,0.471,0.337,3,-11.964,1,0.0267,0.509,6.730000000000001e-05,0.216,0.634,70.49,158520,4,158.52,0.266,0.923,0.345,0.467
1xVOttVNT27FBTD8iHjOfU,0.461,0.466,11,-9.627,1,0.0598,0.86,2.76e-05,0.135,0.251,128.537,132027,4,132.02667,0.206,0.13,0.563,0.458
2qLxtO0iaFGI9x19vU3bDI,0.649,0.144,4,-13.986,1,0.0418,0.806,4.55e-06,0.105,0.458,125.74,183973,4,183.97333,0.639,0.769,0.405,0.479
5msxn2HUcd83qOsuQW7Kdb,0.26,0.312,2,-9.614,1,0.0303,0.939,3.66e-05,0.1,0.396,174.392,144840,3,144.84,0.393,0.944,0.721,0.657
02NKMA9cIkq6VuBNu9q9Wf,0.611,0.37,3,-11.548,1,0.0345,0.707,2.98e-06,0.23,0.778,152.559,141467,3,141.46667,0.435,1.0,0.368,0.633
2vSxjnyrWrtxyfzO47EX6q,0.203,0.295,3,-11.155,1,0.0323,0.92,2.05e-06,0.173,0.285,171.222,160933,3,160.93333,0.103,0.93,0.636,0.442
7qoaMWT3eRCKG1RN6dVuOY,0.439,0.638,3,-6.859,1,0.0307,0.707,0.0,0.175,0.781,69.57,144627,4,144.62666,0.297,1.0,0.101,0.258
