Song,Artist,Track ID
poor little fool,ricky nelson,5ayybTSXNwcarDtxQKqvWX
nel blu dipinto di,domenico modugno,006Ndmw2hHxvnLbJsBFnPx
little star,the elegants,6xupOaBWORbDmakCdQwMRG
it's all in the,tommy edwards,2tvt5K7y1gndmCgtIoLo1f
it's only make believe,conway twitty,1xVOttVNT27FBTD8iHjOfU
tom dooley,the kingston,2qLxtO0iaFGI9x19vU3bDI
to know him is,the teddy,5msxn2HUcd83qOsuQW7Kdb
the chipmunk song,the chipmunks,02NKMA9cIkq6VuBNu9q9Wf
smoke gets in your,the platters,2vSxjnyrWrtxyfzO47EX6q
stagger lee,lloyd price,7qoaMWT3eRCKG1RN6dVuOY
venus,frankie avalon,5kqXQHIgQ6UfFP9LfqPNgG
come softly to me,the fleetwoods,603N4XGJUTbK760GLCvIIs
the happy organ,dave baby,6fOxrKUo3f9OX2z6YrBpwy
kansas city,wilbert harrison,4GvyP7CnBJEV2t7L7vOkjw
the battle of new,johnny horton,66eFGhs8LXeBgrXk0YgRJK
lonely boy,paul anka,44deyFcIU1jArZyFhOznh9
a big hunk o',elvis presley,3GI4aSJU8HrTM6msYXz1MT
the three bells,the browns,5xghdTMuqQPqtDJ0bn3zkn
sleep walk,santo johnny,0yK8sWD6cfrc7pGfaPIcZH
mack the knife,bobby darin,3E5ndyOfO6vFDEIE42HA8o
mr. blue,the fleetwoods,6bnFjTW3EnMG4BwreDnSHK
heartaches by the number,guy mitchell,0mmveflIg5uKskiCOdRV3e
why,frankie avalon,3PNLqKBbWaTBGt9Y1lM1eB
el paso,marty robbins,4f8hBeMXMvssn6HtFAtblo
running bear,johnny preston,1mE8QtaSFxEQnr3SgxmIRf
teen angel,mark dinning,7aNVTsJFlnaUTEBO6fvWho
the theme from a,percy faith,6zwvB879PJSpTyFcg2wwnL
stuck on you,elvis presley,7bA1DHtoJAvqyL42gHwOLa
cathy's clown,the everly,27bw4i8LnECzVlbMZ4kFHw
everybody's somebody's fool,connie francis,1qC8zQRrdkZCwzQ5N4ECoD
alley-oop,hollywood argyles,2bgl6miORpyE4ql0gl7KHR
i'm sorry,brenda lee,4LJcNiq2pBb8OeqrGdBJQw
itsy bitsy teenie weenie,brian hyland,4aTCNddtjztjuK2EOgz7ZZ
it's now or never,elvis presley,6yP3V5FXNNJU8Z441vxhCV
the twist,chubby checker,4YCnTYbq3oL1Lqpyxg33CU
my heart has a,connie francis,7qinPLZ41lgIGuT40EAFs0
mr. custer,larry verne,0afR4FfSwgg5QFF1Wpuwil
save the last dance,the drifters,391TUcoPonqYykPkSZ5Z9U
i want to be,brenda lee,03cB3gd91JsP3bCERC6Lmf
georgia on my mind,ray charles,6yMGxqKj0218mFR5KqsMRq
stay,maurice williams,12BB5t506Of3s3NPBoKScC
are you lonesome to-night,elvis presley,4xUqqie4bBKufHtlMuZS3k
wonderland by night,bert kaempfert,5Ik1BD4gKzxofvNgSRQbCF
will you love me,the shirelles,4QMvxtZGcmvwWtmmoiRs5B
calcutta,lawrence welk,10VtM4vN0l9y4r0YTjVYaA
pony time,chubby checker,45gAw2xmDx9DZAnoiJK723
surrender,elvis presley,366wRPrx2airjcCRkxgoS2
blue moon,the marcels,0pnfT3OLqlnIvO0uMYgCfM
runaway,del shannon,45Szkclj1lt4ubm7RFK68t
mother-in-law,ernie k-doe,7qEwxMKJu8EsjvOoxMJoTT
travelin' man,ricky nelson,1sM0yZDxUhPQhkDh2CLd6l
running scared,roy orbison,6sbj89WozjblBMa5u41orw
moody river,pat boone,2TEdI0KNrYHo4UPhrt0ais
quarter to three,u.s. bonds,5mOECh8BAECe5HEHzJUvpd
tossin' and turnin',bobby lewis,79s3pSe1u6ggQBEwVPm58Z
wooden heart,joe dowell,2ELAMT68a78OGwhCgj9Kai
michael,the highwaymen,25TcXSVruQ3Oox1RyqRCFf
take good care of,bobby vee,06JokgprGDKrtZ1eP6z2CQ
hit the road jack,ray charles,5dUMh0ugelpKfoFp3qChuK
runaround sue,dion,1DndHckdH9m5rp6gYP086b
big bad john,jimmy dean,61uAY9xdzYiIbYJ07XvKso
please mr. postman,the marvelettes,6jX5mso4x00c1EiNMrTU9U
the lion sleeps tonight,the tokens,2F4FNcz68howQWD4zaGJSi
peppermint twist - part,joey dee,227euiIPZryCQGJsYNuwW3
duke of earl,gene chandler,6Hy22YDN9HJMRlJP1LwnJy
hey baby,bruce channel,0obIo2GEab6qqms6t3JaMY
don't break the heart,connie francis,2fAB9BufYdc9AJLE6BusXP
johnny angel,shelley fabares,6XEW0P64pYXfD06e4oLcWz
good luck charm,elvis presley,19gotedXtqeE8dWju6WURW
soldier boy,the shirelles,7xt1KHm7ToHgfOaNhvONRR
stranger on the shore,mr. acker,1UUqBCegaEWTuaYdwc7QQx
i can't stop loving,ray charles,2b8cQfktOXRqaeAXSB4zaP
the stripper,david rose,00vH2PsEQTGRyJYhyIyDbr
roses are red,bobby vinton,5zw4SajQ2IKvjnSWXOSDrh
breaking up is hard,neil sedaka,2x6pbpjVGjiWCcH89IK8AX
the loco-motion,little eva,5xzdDMhFYiuUONB0Mha9VS
sheila,tommy roe,5Mzu8smN6fRBCaUaTytD1W
sherry,the 4,7sqK6f8dHVx3Q1GjFrVyGl
monster mash,bobby boris,0xxZY5C9xxij3D1HkzbnfC
he's a rebel,the crystals,0mG8Hety4RELeo6p808fcy
big girls don't cry,the 4,00meczE1jpLTX0BBzIGrAR
telstar,the tornadoes,5e7Iydav7OtvZft8sB2pW7
go away little girl,steve lawrence,0xx4lbu88MyZRjq8f45B0e
walk right in,the rooftop,4WhT2YADjcU58IUgroWZQZ
hey paula,paul and,3kl9waNDdEv2BqDJBu9fuw
walk like a man,the 4,4C76SOnBa9eQDwOwe11hPz
our day will come,ruby and,3ngYXFSYtF5mHguNCA3JZ0
he's so fine,the chiffons,2Bs1Lw9LX8hBm70t1iGdlh
i will follow him,little peggy,7dFKoNC2k5qgbXrbcMCHQ0
if you wanna be,jimmy soul,7D97JnBT73FWUh9KmRvP9M
it's my party,lesley gore,1Pq47iFLC5U7j8xeNiNcuS
sukiyaki,kyu sakamoto,6meIeOX3DHdaCnaNw67abE
easier said than done,the essex,2C5p7j2gw7Jr2VAZDiNP4u
surf city,jan dean,1Oewmmr12xuhgzvUJ9Q0cf
so much in love,the tymes,6h0LLmMVZY108wNzD5UM6O
fingertips - pt 2,little stevie,6SvMoVRctg7Z3jDtlYIYlL
my boyfriend's back,the angels,5NiFSI8iIDtVm1NCwdYrHS
blue velvet,bobby vinton,3WO8ZBnOtad3xMz46Z54pY
sugar shack,jimmy gilmer,18CglpvgJf2PbHcFijT6gf
deep purple,nino tempo,5kJez8nvgq0HqhWy3UTQFx
i'm leaving it up,dale grace,4To8mxhdtvoKpELxEHOGGU
dominique,the singing,4ns69146GVKS3AwM922kTE
there i've said it,bobby vinton,3mwiyHBHfAzOe89MwqJeEb
i want to hold,the beatles,5Qe7NHxeLAn8KoLTNLSdwe
she loves you,the beatles,0qsS2A3hwicJCLtcaR6JRQ
can't buy me love,the beatles,3SdingSsFcZDZAyvcJbgAw
hello dolly,louis armstrong,63kd4m3VFxcJjPVVtbVNAu
my guy,mary wells,4591VqUIXysNlmI5NcAIUd
love me do,the beatles,3VbGCXWRiouAq8VyMYN2MI
chapel of love,the dixie,7vVG9xbmNQrtdSPTi7KDUm
a world without love,peter and,7fO6hgP2MnAjVtSxResRw2
i get around,the beach,3v9xlH6BpmRbqL7hgNJhfT
rag doll,the 4,6kAROIu6CLVjulTqSPYmAP
a hard day's night,the beatles,65vdMBskhx3akkG9vQlSH1
everybody loves somebody,dean martin,5I9sHwLDX28tLtzVgKLtpr
where did our love,the supremes,69RH84na5iUNwrwxpgjC5j
house of the rising,the animals,7BY005dacJkbO6EPiOh2wb
oh pretty woman,roy orbison,48i055G1OT5KxGGftwFxWy
do wah diddy diddy,manfred mann,48ZjHLkaHpXIlGGYUlb3bZ
baby love,the supremes,5uES1C2NgkdrNHiCwf9jRr
leader of the pack,the shangri-las,6O5PIO5pAWxdoxvaUFQ02G
ringo,lorne greene,5GHbWzjRy1XfnTf5rkA8bf
mr. lonely,bobby vinton,5KG2ahk1cONbHvg3dBdTbx
come see about me,the supremes,307kcWJQNMdiYYKj1LgClU
i feel fine,the beatles,4gxs9En3aoaOm2J5wNMMm9
downtown,petula clark,6S55C80YzjhSrCRRd1p80b
you've lost that lovin',the righteous,6AeyHqzNHJthYJbn0tvJ4b
this diamond ring,gary lewis,44zDLad2CZrhWg2lg9nfuy
my girl,the temptations,745H5CctFr12Mo7cqa1BMH
eight days a week,the beatles,1Dg4dFJr3HW7sbA7vPejre
stop in the name,the supremes,52FlwUMMDnTK8TGkCag9Jd
i'm telling you now,freddie and,3qC08srhXBJ6DEQ7CwPMB0
game of love,wayne fontana,0jUfBCWrfrZGueD8MjvgMo
mrs. brown you've got,herman's hermits,1GJCJpKYfzRUsYnSRy4Mfz
ticket to ride,the beatles,7CZiDzGVjUssMSOXrDNYHL
help me rhonda,the beach,3haZcHm3HydDVxm3je3Zmg
back in my arms,the supremes,2WjW8DjQru6Ic4KvYDqLys
i can't help myself,four tops,6b6IMqP565TbtFFZg9iFf3
mr. tambourine man,the byrds,2HCaIYjkvWSZzaSKUoOh3d
satisfaction,the rolling,2PzU4IB8Dr6mxV3lHuaG34
i'm henry viii i,herman's hermits,39Jr3Nu48BQzLSmlPGSniP
i got you babe,sonny cher,4SGBuq37Ol4HJr7pQqFMKa
help,the beatles,7DD7eSuYSC5xk2ArU62esN
eve of destruction,barry mcguire,1Zi2ezNOqt9y9irC11xYpN
hang on sloopy,the mccoys,0i7O5MtSTXvR4BEY7stpjF
yesterday,the beatles,3BQHpFgAp4l80e1XslIjNI
get off of my,the rolling,263Iuyk08ks1v6FIudUIGD
i hear a symphony,the supremes,5SCB7L1alKg7ZEeSw7Sq9f
turn turn turn,the byrds,5qBqBdfTEIWJwAS0Jm2F5R
over and over,the dave,0SKS8mR9wgXcr670BzR9fg
the sound of silence,simon garfunkel,5y788ya4NvwhBznoDIcXwK
we can work it,the beatles,1hTUFqJuQAMjXVGwUPWDqi
my love,petula clark,1VkjC0VqC21vNPnkzBUWtt
lightnin' strikes,lou christie,2OQhFe5jjTnMWaaDRZxz31
these boots are made,nancy sinatra,2HEgBBls7l0smWTxPx0MtZ
the ballad of the,ssgt barry,0yjNmllr3Ew6f97TqPuEqa
soul and inspiration,the righteous,5ZHOiRqKOzgFMfMAu8cwzp
good lovin',the young,0XnhQGfqfi5CnZXcONJuI5
monday monday,the mamas,3EFb1qDgIqf9MegIryKtDj
