track_id,track_name,artist_id,artist_name,Album ID,artist_genres,explicit,duration,key,mode,time_signature
5ayybTSXNwcarDtxQKqvWX,Poor Little Fool,73sSFVlM6pkweLXE8qw1OS,Ricky Nelson,08TlIPCh7esOAnqBvlmkEt,"['adult standards', 'doo-wop', 'rock-and-roll', 'rockabilly']",False,2:33,C,Major,4
006Ndmw2hHxvnLbJsBFnPx,Nel Blu Dipinto Di Blu (Volare),4llklDtTTyMYMY2LfFOkTI,Domenico Modugno,3RWfLO5X2CSxBI5oH84mra,"['classic italian pop', 'italian adult pop']",False,3:36,A♯/B♭,Major,4
6xupOaBWORbDmakCdQwMRG,Little Star,7bNoMfBqbaLJrfH3Vw1q6L,The Elegants,7mFC0w7g7lopYnuQeZH7rd,['doo-wop'],False,2:40,A,Major,4
2tvt5K7y1gndmCgtIoLo1f,It's All In The Game,1ObAu0tz0NlOI6FNHTXchD,Tommy Edwards,5Pm6JmFRagCaNbD5OLlG3d,"['deep adult standards', 'doo-wop', 'rhythm and blues']",False,2:38,D♯/E♭,Major,4
1xVOttVNT27FBTD8iHjOfU,It's Only Make Believe,7gi3jmwpUpNWdswT8eEprF,Conway Twitty,3niZ3iipFSFzO6335VBZiP,"['arkansas country', 'classic country pop', 'country', 'country rock']",False,2:12,B,Major,4
2qLxtO0iaFGI9x19vU3bDI,Tom Dooley,3qtcbDvdIgQOXkPbtRvBaQ,The Kingston Trio,3FUqOoYR8ZdWPUwPMVYSDi,"['american folk revival', 'folk']",False,3:03,E,Major,4
5msxn2HUcd83qOsuQW7Kdb,To Know Him; Is To Love Him,4JFunELhYa3ZrJnSWAZl3W,The Teddy Bears,6gazFgNMWCG9mzuy43aNg0,[],False,2:24,D,Major,3
02NKMA9cIkq6VuBNu9q9Wf,The Chipmunk Song,1SCWcYnoEh1978ycTDhZoW,The Chipmunks With David Seville,3X7elwYMwXz3flSYNtSfHQ,"[""children's music""]",False,2:21,D♯/E♭,Major,3
2vSxjnyrWrtxyfzO47EX6q,Smoke Gets In Your Eyes,6KWcxMWVNVIYbdOQyJtsSy,The Platters,3hf24dCfmmDihusVyBLliZ,"['adult standards', 'easy listening', 'rock-and-roll', 'rockabilly']",False,2:40,D♯/E♭,Major,3
7qoaMWT3eRCKG1RN6dVuOY,Stagger Lee,3iOE5ItEv5xr9fmKi7GNh2,Lloyd Price,0QutFp2d494sxD57IbvfGu,"['doo-wop', 'louisiana blues', 'memphis blues', 'new orleans blues', 'rhythm and blues', 'rock-and-roll', 'rockabilly']",False,2:24,D♯/E♭,Major,4
5kqXQHIgQ6UfFP9LfqPNgG,Venus,5zNOI87gG4RttFmYAZWaxQ,Frankie Avalon,3nDCuyCQqcqVbXprUy61CF,"['adult standards', 'bubblegum pop', 'doo-wop', 'easy listening', 'rock-and-roll', 'rockabilly']",False,2:24,A♯/B♭,Major,4
603N4XGJUTbK760GLCvIIs,Come Softly To Me,673J686eeEXMYJorgQ70lX,The Fleetwoods,53Z6bXyBJ7tlRtMettF6Uq,"['doo-wop', 'vocal harmony group']",False,2:24,C♯/D♭,Major,4
6fOxrKUo3f9OX2z6YrBpwy,The Happy Organ,7fGPj0sGEcZACQTUVbz3NY,"Dave ""Baby"" Cortez",6D0bih85tthwFbvN0PZltU,"['hammond organ', 'jazz organ']",False,2:05,C♯/D♭,Major,4
4GvyP7CnBJEV2t7L7vOkjw,Kansas City,7rETVFaF9VOFPmmzsY3kO6,Wilbert Harrison,1Y1TBAbgOzreTno3UasaQX,['rhythm and blues'],False,2:30,C♯/D♭,Major,4
66eFGhs8LXeBgrXk0YgRJK,The Battle Of New Orleans,1bBZcz4jP7CoPlqpCFh4gz,Johnny Horton,7G7QvJcUOGbzwnOpxLOVRp,"['classic country pop', 'cowboy western']",False,2:31,A,Major,4
44deyFcIU1jArZyFhOznh9,Lonely Boy,7ceUfdWq2t5nbatS6ollHh,Paul Anka,4avsZn38cgMEmxmGdpb4lp,"['adult standards', 'canadian pop', 'easy listening', 'rock-and-roll']",False,2:34,C,Major,3
3GI4aSJU8HrTM6msYXz1MT,A Big Hunk O' Love,43ZHCT0cAZBISjO8DG9PnE,Elvis Presley With The Jordanaires,6AUihdKWdT5evm91G7wirB,"['rock-and-roll', 'rockabilly']",False,2:08,C,Major,4
5xghdTMuqQPqtDJ0bn3zkn,The Three Bells,6GDSMFwAQBfnrrZf981Yji,The Browns,7IsKfmOaFBk2o6XZQPGwyh,"['nashville sound', 'vocal harmony group']",False,2:53,G,Major,4
0yK8sWD6cfrc7pGfaPIcZH,Sleep Walk,4hGjngc0tPOBwTgTPci3IK,Santo & Johnny,5toxcaerHCTPDtIcQOTRx8,"['space age pop', 'surf music']",False,2:25,A♯/B♭,Minor,3
3E5ndyOfO6vFDEIE42HA8o,Mack The Knife,0EodhzA6yW1bIdD5B4tcmJ,Bobby Darin,5MsJK0kqiYIJDmd3cjkGMn,"['adult standards', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly', 'vocal jazz']",False,3:04,D♯/E♭,Minor,4
6bnFjTW3EnMG4BwreDnSHK,Mr. Blue,673J686eeEXMYJorgQ70lX,The Fleetwoods,53Z6bXyBJ7tlRtMettF6Uq,"['doo-wop', 'vocal harmony group']",False,2:25,E,Major,4
0mmveflIg5uKskiCOdRV3e,Heartaches By The Number,1YAtBHWaWzZnkaoSFHGTBV,Guy Mitchell,6tDS6H71BIUdA3UAfk2USN,['deep adult standards'],False,2:34,F,Major,4
3PNLqKBbWaTBGt9Y1lM1eB,Why,5zNOI87gG4RttFmYAZWaxQ,Frankie Avalon,3nDCuyCQqcqVbXprUy61CF,"['adult standards', 'bubblegum pop', 'doo-wop', 'easy listening', 'rock-and-roll', 'rockabilly']",False,2:37,F,Major,4
4f8hBeMXMvssn6HtFAtblo,El Paso,0Xi59sEw38vRvwleSAVqoo,Marty Robbins,3kQpBS26lAj0A0VGl1snRl,"['cowboy western', 'nashville sound']",False,4:19,D,Major,3
1mE8QtaSFxEQnr3SgxmIRf,Running Bear,1B8n8vtEeexQ5NKehHTkeo,Johnny Preston,2nqLruojLXh11mAl696aNt,"['doo-wop', 'rock-and-roll', 'rockabilly']",False,2:37,F,Minor,4
7aNVTsJFlnaUTEBO6fvWho,Teen Angel,55Rf9Kfqd30nmqaeEDMpic,Mark Dinning,0iC3EDnTNvp0lbDKAhcLJl,['deep adult standards'],False,2:41,C,Major,4
6zwvB879PJSpTyFcg2wwnL,"The Theme From ""A Summer Place""",24DQLSng7bKZD4GXLIaQbv,Percy Faith And His Orchestra,0XLV6vIukKpejiSTAaSPPi,"['easy listening', ""man's orchestra""]",False,2:22,C,Major,3
7bA1DHtoJAvqyL42gHwOLa,Stuck On You,43ZHCT0cAZBISjO8DG9PnE,Elvis Presley With The Jordanaires,0QVoYzGd1p8Z3ohEaM0lsc,"['rock-and-roll', 'rockabilly']",False,2:18,G,Major,4
27bw4i8LnECzVlbMZ4kFHw,Cathy's Clown,4ACplpEqD6JIVgKrafauzs,The Everly Brothers,4Nro0nGcWVybv8cZXmSU4P,"['adult standards', 'folk rock', 'mellow gold', 'rock-and-roll', 'rockabilly', 'sunshine pop']",False,2:25,G,Major,4
1qC8zQRrdkZCwzQ5N4ECoD,Everybody's Somebody's Fool,3EY5DxGdy7x4GelivOjS2Q,Connie Francis,5LzeNR0ssOIfaUpNQbthH9,"['adult standards', 'brill building pop', 'easy listening', 'rock-and-roll', 'rockabilly']",False,2:37,C♯/D♭,Major,4
2bgl6miORpyE4ql0gl7KHR,Alley-Oop,2QJGwjXfe7IOoBFcrpzOTt,Hollywood Argyles,36pyw1RAuL0VU58pqTlxSg,['novelty'],False,2:41,G,Major,4
4LJcNiq2pBb8OeqrGdBJQw,I'm Sorry,4cPHsZM98sKzmV26wlwD2W,Brenda Lee,3DzEQCPg0Irz2vWUaBSEkm,"['adult standards', 'easy listening', 'lounge', 'rockabilly']",False,2:41,A♯/B♭,Major,3
4aTCNddtjztjuK2EOgz7ZZ,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,6YROFUbu5zRCHi2xkir5pk,Brian Hyland,4RoVkWn8cGBtItzS5ah697,"['bubblegum pop', 'doo-wop', 'merseybeat', 'rock-and-roll']",False,2:23,D,Major,4
6yP3V5FXNNJU8Z441vxhCV,It's Now Or Never,43ZHCT0cAZBISjO8DG9PnE,Elvis Presley With The Jordanaires,0gv5aiVS1WBUZOKeb7YawE,"['rock-and-roll', 'rockabilly']",False,3:13,E,Major,4
4YCnTYbq3oL1Lqpyxg33CU,The Twist,7qQJQ3YtcGlqaLg5tcypN2,Chubby Checker,0YgWInMbwTXPCaHRUHqoeY,"['rock-and-roll', 'rockabilly']",False,2:35,E,Major,4
7qinPLZ41lgIGuT40EAFs0,My Heart Has A Mind Of Its Own,3EY5DxGdy7x4GelivOjS2Q,Connie Francis,5LzeNR0ssOIfaUpNQbthH9,"['adult standards', 'brill building pop', 'easy listening', 'rock-and-roll', 'rockabilly']",False,2:32,F♯/G♭,Major,4
0afR4FfSwgg5QFF1Wpuwil,Mr. Custer,6vWMWDRy2Jbshg42p1Iuzg,Larry Verne,6FaTus89ZtT8jtQnoutlqr,['novelty'],False,3:04,E,Minor,4
391TUcoPonqYykPkSZ5Z9U,Save The Last Dance For Me,1FqqOl9itIUpXr4jZPIVoT,The Drifters,6sWL3HHXGkqlST0rfWXvBU,"['adult standards', 'classic soul', 'doo-wop', 'rock-and-roll', 'rockabilly', 'soul']",False,2:34,E,Major,4
03cB3gd91JsP3bCERC6Lmf,I Want To Be Wanted,4cPHsZM98sKzmV26wlwD2W,Brenda Lee,7Kh2ce3pejIOQ9izmtFDSE,"['adult standards', 'easy listening', 'lounge', 'rockabilly']",False,3:05,G♯/A♭,Major,3
6yMGxqKj0218mFR5KqsMRq,Georgia On My Mind,1eYhYunlNJlDoQhtYBvPsi,Ray Charles,7gvxyetkX6vkoMyDkDM6ls,"['adult standards', 'classic soul', 'jazz blues', 'piano blues', 'soul', 'soul blues', 'vocal jazz']",False,3:39,G,Major,4
12BB5t506Of3s3NPBoKScC,Stay,1CgE69lpZKGAcA5kIIK82D,Maurice Williams & The Zodiacs,742DgTRTmsBGMGxOcTPLIo,[],False,1:37,G♯/A♭,Minor,4
4xUqqie4bBKufHtlMuZS3k,Are You Lonesome To-night?,43ZHCT0cAZBISjO8DG9PnE,Elvis Presley With The Jordanaires,0gv5aiVS1WBUZOKeb7YawE,"['rock-and-roll', 'rockabilly']",False,3:06,C,Major,3
5Ik1BD4gKzxofvNgSRQbCF,Wonderland By Night,2s6JabvZdqVQhfOsaxCSFX,Bert Kaempfert And His Orchestra,4NJgRrbHDkPMBMkup98HpB,"['ballroom', 'easy listening']",False,3:15,E,Major,4
4QMvxtZGcmvwWtmmoiRs5B,Will You Love Me Tomorrow,0x83OBqixqdCHnStP5VMcn,The Shirelles,13MaoinwLDJqTHPMEr0efZ,"['classic girl group', 'classic soul', 'doo-wop', 'motown', 'rock-and-roll', 'soul']",False,2:40,C,Major,4
10VtM4vN0l9y4r0YTjVYaA,Calcutta,2GMH35k5oLCjzYpn5HbaD8,Lawrence Welk And His Orchestra,49chd9CpYkrqAUpJDeUXII,"['easy listening', 'polka']",False,2:15,G,Major,4
45gAw2xmDx9DZAnoiJK723,Pony Time,7qQJQ3YtcGlqaLg5tcypN2,Chubby Checker,4btfmKwgAHFtN7BQUSHta0,"['rock-and-roll', 'rockabilly']",False,2:28,D♯/E♭,Major,4
