Song,Artist,Track ID
Poor Little Fool,Ricky Nelson,5ayybTSXNwcarDtxQKqvWX
Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,006Ndmw2hHxvnLbJsBFnPx
Little Star,The Elegants,6xupOaBWORbDmakCdQwMRG
It's All In The Game,Tommy Edwards,2tvt5K7y1gndmCgtIoLo1f
It's Only Make Believe,Conway Twitty,1xVOttVNT27FBTD8iHjOfU
Tom Dooley,The Kingston Trio,2qLxtO0iaFGI9x19vU3bDI
To Know Him; Is To Love Him,The Teddy Bears,5msxn2HUcd83qOsuQW7Kdb
The Chipmunk Song,The Chipmunks With David Seville,02NKMA9cIkq6VuBNu9q9Wf
Smoke Gets In Your Eyes,The Platters,2vSxjnyrWrtxyfzO47EX6q
Stagger Lee,Lloyd Price,7qoaMWT3eRCKG1RN6dVuOY
Venus,Frankie Avalon,5kqXQHIgQ6UfFP9LfqPNgG
Come Softly To Me,The Fleetwoods,603N4XGJUTbK760GLCvIIs
The Happy Organ,"Dave ""Baby"" Cortez",6fOxrKUo3f9OX2z6YrBpwy
Kansas City,Wilbert Harrison,4GvyP7CnBJEV2t7L7vOkjw
The Battle Of New Orleans,Johnny Horton,66eFGhs8LXeBgrXk0YgRJK
Lonely Boy,Paul Anka,44deyFcIU1jArZyFhOznh9
A Big Hunk O' Love,Elvis Presley With The Jordanaires,3GI4aSJU8HrTM6msYXz1MT
The Three Bells,The Browns,5xghdTMuqQPqtDJ0bn3zkn
Sleep Walk,Santo & Johnny,0yK8sWD6cfrc7pGfaPIcZH
Mack The Knife,Bobby Darin,3E5ndyOfO6vFDEIE42HA8o
Mr. Blue,The Fleetwoods,6bnFjTW3EnMG4BwreDnSHK
Heartaches By The Number,Guy Mitchell,0mmveflIg5uKskiCOdRV3e
Why,Frankie Avalon,3PNLqKBbWaTBGt9Y1lM1eB
El Paso,Marty Robbins,4f8hBeMXMvssn6HtFAtblo
Running Bear,Johnny Preston,1mE8QtaSFxEQnr3SgxmIRf
Teen Angel,Mark Dinning,7aNVTsJFlnaUTEBO6fvWho
"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,6zwvB879PJSpTyFcg2wwnL
Stuck On You,Elvis Presley With The Jordanaires,7bA1DHtoJAvqyL42gHwOLa
Cathy's Clown,The Everly Brothers,27bw4i8LnECzVlbMZ4kFHw
Everybody's Somebody's Fool,Connie Francis,1qC8zQRrdkZCwzQ5N4ECoD
Alley-Oop,Hollywood Argyles,2bgl6miORpyE4ql0gl7KHR
I'm Sorry,Brenda Lee,4LJcNiq2pBb8OeqrGdBJQw
Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland,4aTCNddtjztjuK2EOgz7ZZ
It's Now Or Never,Elvis Presley With The Jordanaires,6yP3V5FXNNJU8Z441vxhCV
The Twist,Chubby Checker,4YCnTYbq3oL1Lqpyxg33CU
My Heart Has A Mind Of Its Own,Connie Francis,7qinPLZ41lgIGuT40EAFs0
Mr. Custer,Larry Verne,0afR4FfSwgg5QFF1Wpuwil
Save The Last Dance For Me,The Drifters,391TUcoPonqYykPkSZ5Z9U
I Want To Be Wanted,Brenda Lee,03cB3gd91JsP3bCERC6Lmf
Georgia On My Mind,Ray Charles,6yMGxqKj0218mFR5KqsMRq
Stay,Maurice Williams & The Zodiacs,12BB5t506Of3s3NPBoKScC
Are You Lonesome To-night?,Elvis Presley With The Jordanaires,4xUqqie4bBKufHtlMuZS3k
Wonderland By Night,Bert Kaempfert And His Orchestra,5Ik1BD4gKzxofvNgSRQbCF
Will You Love Me Tomorrow,The Shirelles,4QMvxtZGcmvwWtmmoiRs5B
Calcutta,Lawrence Welk And His Orchestra,10VtM4vN0l9y4r0YTjVYaA
Pony Time,Chubby Checker,45gAw2xmDx9DZAnoiJK723
Surrender,Elvis Presley With The Jordanaires,366wRPrx2airjcCRkxgoS2
Blue Moon,The Marcels,0pnfT3OLqlnIvO0uMYgCfM
Runaway,Del Shannon,45Szkclj1lt4ubm7RFK68t
Mother-In-Law,Ernie K-Doe,7qEwxMKJu8EsjvOoxMJoTT
Travelin' Man,Ricky Nelson,1sM0yZDxUhPQhkDh2CLd6l
Running Scared,Roy Orbison,6sbj89WozjblBMa5u41orw
Moody River,Pat Boone,2TEdI0KNrYHo4UPhrt0ais
Quarter To Three,U.S. Bonds,5mOECh8BAECe5HEHzJUvpd
Tossin' And Turnin',Bobby Lewis,79s3pSe1u6ggQBEwVPm58Z
Wooden Heart,Joe Dowell,2ELAMT68a78OGwhCgj9Kai
Michael,The Highwaymen,25TcXSVruQ3Oox1RyqRCFf
Take Good Care Of My Baby,Bobby Vee,06JokgprGDKrtZ1eP6z2CQ
Hit The Road Jack,Ray Charles And His Orchestra With The Raelettes,5dUMh0ugelpKfoFp3qChuK
Runaround Sue,Dion,1DndHckdH9m5rp6gYP086b
Big Bad John,Jimmy Dean,61uAY9xdzYiIbYJ07XvKso
Please Mr. Postman,The Marvelettes,6jX5mso4x00c1EiNMrTU9U
The Lion Sleeps Tonight,The Tokens,2F4FNcz68howQWD4zaGJSi
Peppermint Twist - Part I,Joey Dee & the Starliters,227euiIPZryCQGJsYNuwW3
Duke Of Earl,Gene Chandler,6Hy22YDN9HJMRlJP1LwnJy
Hey! Baby,Bruce Channel,0obIo2GEab6qqms6t3JaMY
Don't Break The Heart That Loves You,Connie Francis,2fAB9BufYdc9AJLE6BusXP
Johnny Angel,Shelley Fabares,6XEW0P64pYXfD06e4oLcWz
Good Luck Charm,Elvis Presley With The Jordanaires,19gotedXtqeE8dWju6WURW
Soldier Boy,The Shirelles,7xt1KHm7ToHgfOaNhvONRR
Stranger On The Shore,Mr. Acker Bilk,1UUqBCegaEWTuaYdwc7QQx
I Can't Stop Loving You,Ray Charles,2b8cQfktOXRqaeAXSB4zaP
The Stripper,David Rose and His Orchestra,00vH2PsEQTGRyJYhyIyDbr
Roses Are Red (My Love),Bobby Vinton,5zw4SajQ2IKvjnSWXOSDrh
Breaking Up Is Hard To Do,Neil Sedaka,2x6pbpjVGjiWCcH89IK8AX
The Loco-Motion,Little Eva,5xzdDMhFYiuUONB0Mha9VS
Sheila,Tommy Roe,5Mzu8smN6fRBCaUaTytD1W
Sherry,The 4 Seasons,7sqK6f8dHVx3Q1GjFrVyGl
Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers",0xxZY5C9xxij3D1HkzbnfC
He's A Rebel,The Crystals,0mG8Hety4RELeo6p808fcy
Big Girls Don't Cry,The 4 Seasons,00meczE1jpLTX0BBzIGrAR
Telstar,The Tornadoes,5e7Iydav7OtvZft8sB2pW7
Go Away Little Girl,Steve Lawrence,0xx4lbu88MyZRjq8f45B0e
Walk Right In,The Rooftop Singers,4WhT2YADjcU58IUgroWZQZ
Hey Paula,Paul and Paula,3kl9waNDdEv2BqDJBu9fuw
Walk Like A Man,The 4 Seasons,4C76SOnBa9eQDwOwe11hPz
Our Day Will Come,Ruby And The Romantics,3ngYXFSYtF5mHguNCA3JZ0
He's So Fine,The Chiffons,2Bs1Lw9LX8hBm70t1iGdlh
I Will Follow Him,Little Peggy March,7dFKoNC2k5qgbXrbcMCHQ0
If You Wanna Be Happy,Jimmy Soul,7D97JnBT73FWUh9KmRvP9M
It's My Party,Lesley Gore,1Pq47iFLC5U7j8xeNiNcuS
Sukiyaki,Kyu Sakamoto,6meIeOX3DHdaCnaNw67abE
Easier Said Than Done,The Essex,2C5p7j2gw7Jr2VAZDiNP4u
Surf City,Jan & Dean,1Oewmmr12xuhgzvUJ9Q0cf
So Much In Love,The Tymes,6h0LLmMVZY108wNzD5UM6O
Fingertips - Pt 2,Little Stevie Wonder,6SvMoVRctg7Z3jDtlYIYlL
My Boyfriend's Back,The Angels,5NiFSI8iIDtVm1NCwdYrHS
Blue Velvet,Bobby Vinton,3WO8ZBnOtad3xMz46Z54pY
Sugar Shack,Jimmy Gilmer And The Fireballs,18CglpvgJf2PbHcFijT6gf
Deep Purple,Nino Tempo & April Stevens,5kJez8nvgq0HqhWy3UTQFx
I'm Leaving It Up To You,Dale & Grace,4To8mxhdtvoKpELxEHOGGU
Dominique,The Singing Nun (Soeur Sourire),4ns69146GVKS3AwM922kTE
There! I've Said It Again,Bobby Vinton,3mwiyHBHfAzOe89MwqJeEb
I Want To Hold Your Hand,The Beatles,5Qe7NHxeLAn8KoLTNLSdwe
She Loves You,The Beatles,0qsS2A3hwicJCLtcaR6JRQ
Can't Buy Me Love,The Beatles,3SdingSsFcZDZAyvcJbgAw
Hello; Dolly!,Louis Armstrong And The All Stars,63kd4m3VFxcJjPVVtbVNAu
My Guy,Mary Wells,4591VqUIXysNlmI5NcAIUd
Love Me Do,The Beatles,3VbGCXWRiouAq8VyMYN2MI
Chapel Of Love,The Dixie Cups,7vVG9xbmNQrtdSPTi7KDUm
A World Without Love,Peter And Gordon,7fO6hgP2MnAjVtSxResRw2
I Get Around,The Beach Boys,3v9xlH6BpmRbqL7hgNJhfT
Rag Doll,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",6kAROIu6CLVjulTqSPYmAP
A Hard Day's Night,The Beatles,65vdMBskhx3akkG9vQlSH1
Everybody Loves Somebody,Dean Martin,5I9sHwLDX28tLtzVgKLtpr
Where Did Our Love Go,The Supremes,69RH84na5iUNwrwxpgjC5j
House Of The Rising Sun,The Animals,7BY005dacJkbO6EPiOh2wb
Oh; Pretty Woman,Roy Orbison And The Candy Men,48i055G1OT5KxGGftwFxWy
Do Wah Diddy Diddy,Manfred Mann,48ZjHLkaHpXIlGGYUlb3bZ
Baby Love,The Supremes,5uES1C2NgkdrNHiCwf9jRr
Leader Of The Pack,The Shangri-Las,6O5PIO5pAWxdoxvaUFQ02G
Ringo,Lorne Greene,5GHbWzjRy1XfnTf5rkA8bf
Mr. Lonely,Bobby Vinton,5KG2ahk1cONbHvg3dBdTbx
Come See About Me,The Supremes,307kcWJQNMdiYYKj1LgClU
I Feel Fine,The Beatles,4gxs9En3aoaOm2J5wNMMm9
Downtown,Petula Clark,6S55C80YzjhSrCRRd1p80b
You've Lost That Lovin' Feelin',The Righteous Brothers,6AeyHqzNHJthYJbn0tvJ4b
This Diamond Ring,Gary Lewis And The Playboys,44zDLad2CZrhWg2lg9nfuy
My Girl,The Temptations,745H5CctFr12Mo7cqa1BMH
Eight Days A Week,The Beatles,1Dg4dFJr3HW7sbA7vPejre
Stop! In The Name Of Love,The Supremes,52FlwUMMDnTK8TGkCag9Jd
I'm Telling You Now,Freddie And The Dreamers,3qC08srhXBJ6DEQ7CwPMB0
Game Of Love,Wayne Fontana & The Mindbenders,0jUfBCWrfrZGueD8MjvgMo
Mrs. Brown You've Got A Lovely Daughter,Herman's Hermits,1GJCJpKYfzRUsYnSRy4Mfz
Ticket To Ride,The Beatles,7CZiDzGVjUssMSOXrDNYHL
Help Me; Rhonda,The Beach Boys,3haZcHm3HydDVxm3je3Zmg
Back In My Arms Again,The Supremes,2WjW8DjQru6Ic4KvYDqLys
I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,6b6IMqP565TbtFFZg9iFf3
Mr. Tambourine Man,The Byrds,2HCaIYjkvWSZzaSKUoOh3d
(I Can't Get No) Satisfaction,The Rolling Stones,2PzU4IB8Dr6mxV3lHuaG34
I'm Henry VIII; I Am,Herman's Hermits,39Jr3Nu48BQzLSmlPGSniP
I Got You Babe,Sonny & Cher,4SGBuq37Ol4HJr7pQqFMKa
Help!,The Beatles,7DD7eSuYSC5xk2ArU62esN
Eve Of Destruction,Barry McGuire,1Zi2ezNOqt9y9irC11xYpN
Hang On Sloopy,The McCoys,0i7O5MtSTXvR4BEY7stpjF
Yesterday,The Beatles,3BQHpFgAp4l80e1XslIjNI
Get Off Of My Cloud,The Rolling Stones,263Iuyk08ks1v6FIudUIGD
I Hear A Symphony,The Supremes,5SCB7L1alKg7ZEeSw7Sq9f
Turn! Turn! Turn! (To Everything There Is A Season),The Byrds,5qBqBdfTEIWJwAS0Jm2F5R
Over And Over,The Dave Clark Five,0SKS8mR9wgXcr670BzR9fg
The Sound Of Silence,Simon & Garfunkel,5y788ya4NvwhBznoDIcXwK
We Can Work It Out,The Beatles,1hTUFqJuQAMjXVGwUPWDqi
My Love,Petula Clark,1VkjC0VqC21vNPnkzBUWtt
Lightnin' Strikes,Lou Christie,2OQhFe5jjTnMWaaDRZxz31
These Boots Are Made For Walkin',Nancy Sinatra,2HEgBBls7l0smWTxPx0MtZ
The Ballad Of The Green Berets,SSgt Barry Sadler,0yjNmllr3Ew6f97TqPuEqa
(You're My) Soul And Inspiration,The Righteous Brothers,5ZHOiRqKOzgFMfMAu8cwzp
Good Lovin',The Young Rascals,0XnhQGfqfi5CnZXcONJuI5
Monday; Monday,The Mamas & The Papas,3EFb1qDgIqf9MegIryKtDj
When A Man Loves A Woman,Percy Sledge,51FpzuGkRYXFgsE2zXt9av
Paint It; Black,The Rolling Stones,63T7DJ1AFDD6Bn8VzG6JE8
Paperback Writer,The Beatles,0Ui8KPWZbJJQ2Y0CIQuVqX
Strangers In The Night,Frank Sinatra,74VR3AkGPhbYXnxcOYa16x
Hanky Panky,Tommy James And The Shondells,3uqEiaO6MUoM89nLSIs05c
Wild Thing,The Troggs,7jGzYUZ2Bgg8BDfYlQRfn8
Summer In The City,The Lovin' Spoonful,7AzFID6u1b3zIWbd9pb8Dk
Sunshine Superman,Donovan,4RGxUjaCmVtD30pIhtEi7w
You Can't Hurry Love,The Supremes,1OppEieGNdItZbE14gLBEv
Cherish,The Association,7uGeDI6nJEdUYMsMd7mQyl
Reach Out I'll Be There,Four Tops,6Pkj4nv5K53i64cLVgkVyY
96 Tears,? (Question Mark) & The Mysterians,4PEeZ2U4UfP2Jo8EtIOjus
Last Train To Clarksville,The Monkees,3h4t9qpFktohHeUQc3hZCa
Poor Side Of Town,Johnny Rivers,60DmpUd1BnemzjASiUewnf
You Keep Me Hangin' On,The Supremes,4a01ClusxuZiloOK5UgLUn
