Track URI,Song,Artist URI(s),Artist,Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Added By,Added At,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Album Genres,Label,Copyrights,Date,Rank,Last Week,Peak Position,Weeks in Charts,Image URL
spotify:track:6dGWq08LXuIw6T2oUeHECh,Convoy,spotify:artist:0iTkPxRldzi5lmS6qZ70JV,C.W. McCall,spotify:album:6XbZ0Hc2LQaLJuUaFrHfTY,C.W. McCall's Greatest Hits,spotify:artist:0iTkPxRldzi5lmS6qZ70JV,C.W. McCall,1990-01-01,https://i.scdn.co/image/ab67616d0000b273183cad608b1e5a734f052710,1,1,230600,https://p.scdn.co/mp3-preview/6a093f1c5ce5e657d58b02ee7e6ab7824dc9132b?cid=9950ac751e34487dbbe027c4fd7f8e99,False,64,USPR37500034,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"classic country pop,country rock,truck-driving country",0.68,0.543,5.0,-14.876,1.0,0.141,0.857,0.000116,0.0881,0.796,111.62,4.0,,Island Mercury,"C © 1990 UMG Recordings, Inc., P This Compilation ℗ 1990 UMG Recordings, Inc.",1976-01-07,1,6,1,6,https://charts-static.billboard.com/img/1975/12/cw-mccall-k40-convoy-670-180x180.jpg
spotify:track:0k2GOhqsrxDTAbFFSdNJjT,Temperature,spotify:artist:3Isy6kedDrgPYoTS1dazA9,Sean Paul,spotify:album:32Bu3ETQhR1PFCj3ndDlYf,The Trinity,spotify:artist:3Isy6kedDrgPYoTS1dazA9,Sean Paul,2005-09-26,https://i.scdn.co/image/ab67616d0000b27369ba684e533706bafe248ef3,1,11,218573,https://p.scdn.co/mp3-preview/fd0b2beda757e9b8dcaf04e71c1d6cada0659765?cid=9950ac751e34487dbbe027c4fd7f8e99,False,84,USAT20505520,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"dance pop,dancehall,pop,pop rap",0.951,0.6,0.0,-4.675,0.0,0.0685,0.106,0.0,0.0712,0.822,125.04,4.0,,Atlantic Records,"C © 2005 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States., P ℗ 2005 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States.",2006-03-29,1,2,1,11,https://charts-static.billboard.com/img/2005/12/sean-paul-rss-temperature-2m2-180x180.jpg
spotify:track:12q3V8ShACq2PSWINMc2rC,It's Too Late,spotify:artist:319yZVtYM9MBGqmSQnMyY6,Carole King,spotify:album:12n11cgnpjXKLeqrnIERoS,Tapestry,spotify:artist:319yZVtYM9MBGqmSQnMyY6,Carole King,1971,https://i.scdn.co/image/ab67616d0000b27323350feac07f56d8b96f33d5,1,3,233173,https://p.scdn.co/mp3-preview/65a393c68256deeac86336dbba44691fee268702?cid=9950ac751e34487dbbe027c4fd7f8e99,False,72,USSM17100509,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"brill building pop,classic rock,folk,folk rock,mellow gold,singer-songwriter,soft rock",0.45,0.442,9.0,-12.718,0.0,0.0353,0.493,0.00564,0.134,0.812,208.282,4.0,,Ode/Epic/Legacy,"P Originally released 1971. All rights reserved by Ode Records. Originally released 1961, 1971. All rights reserved by Sony Music Entertainment. (P) 2007, 2008 Sony Music Entertainment.",1971-06-16,1,6,1,7,https://charts-static.billboard.com/img/1962/08/carole-king-x1k-180x180.jpg
spotify:track:12q3V8ShACq2PSWINMc2rC,It's Too Late,spotify:artist:319yZVtYM9MBGqmSQnMyY6,Carole King,spotify:album:12n11cgnpjXKLeqrnIERoS,Tapestry,spotify:artist:319yZVtYM9MBGqmSQnMyY6,Carole King,1971,https://i.scdn.co/image/ab67616d0000b27323350feac07f56d8b96f33d5,1,3,233173,https://p.scdn.co/mp3-preview/65a393c68256deeac86336dbba44691fee268702?cid=9950ac751e34487dbbe027c4fd7f8e99,False,72,USSM17100509,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"brill building pop,classic rock,folk,folk rock,mellow gold,singer-songwriter,soft rock",0.45,0.442,9.0,-12.718,0.0,0.0353,0.493,0.00564,0.134,0.812,208.282,4.0,,Ode/Epic/Legacy,"P Originally released 1971. All rights reserved by Ode Records. Originally released 1961, 1971. All rights reserved by Sony Music Entertainment. (P) 2007, 2008 Sony Music Entertainment.",1971-06-23,1,1,1,8,https://charts-static.billboard.com/img/1962/08/carole-king-x1k-180x180.jpg
spotify:track:12q3V8ShACq2PSWINMc2rC,It's Too Late,spotify:artist:319yZVtYM9MBGqmSQnMyY6,Carole King,spotify:album:12n11cgnpjXKLeqrnIERoS,Tapestry,spotify:artist:319yZVtYM9MBGqmSQnMyY6,Carole King,1971,https://i.scdn.co/image/ab67616d0000b27323350feac07f56d8b96f33d5,1,3,233173,https://p.scdn.co/mp3-preview/65a393c68256deeac86336dbba44691fee268702?cid=9950ac751e34487dbbe027c4fd7f8e99,False,72,USSM17100509,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"brill building pop,classic rock,folk,folk rock,mellow gold,singer-songwriter,soft rock",0.45,0.442,9.0,-12.718,0.0,0.0353,0.493,0.00564,0.134,0.812,208.282,4.0,,Ode/Epic/Legacy,"P Originally released 1971. All rights reserved by Ode Records. Originally released 1961, 1971. All rights reserved by Sony Music Entertainment. (P) 2007, 2008 Sony Music Entertainment.",1971-06-30,1,1,1,9,https://charts-static.billboard.com/img/1962/08/carole-king-x1k-180x180.jpg
spotify:track:12q3V8ShACq2PSWINMc2rC,It's Too Late,spotify:artist:319yZVtYM9MBGqmSQnMyY6,Carole King,spotify:album:12n11cgnpjXKLeqrnIERoS,Tapestry,spotify:artist:319yZVtYM9MBGqmSQnMyY6,Carole King,1971,https://i.scdn.co/image/ab67616d0000b27323350feac07f56d8b96f33d5,1,3,233173,https://p.scdn.co/mp3-preview/65a393c68256deeac86336dbba44691fee268702?cid=9950ac751e34487dbbe027c4fd7f8e99,False,72,USSM17100509,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"brill building pop,classic rock,folk,folk rock,mellow gold,singer-songwriter,soft rock",0.45,0.442,9.0,-12.718,0.0,0.0353,0.493,0.00564,0.134,0.812,208.282,4.0,,Ode/Epic/Legacy,"P Originally released 1971. All rights reserved by Ode Records. Originally released 1961, 1971. All rights reserved by Sony Music Entertainment. (P) 2007, 2008 Sony Music Entertainment.",1971-07-07,1,1,1,10,https://charts-static.billboard.com/img/1962/08/carole-king-x1k-180x180.jpg
spotify:track:12q3V8ShACq2PSWINMc2rC,It's Too Late,spotify:artist:319yZVtYM9MBGqmSQnMyY6,Carole King,spotify:album:12n11cgnpjXKLeqrnIERoS,Tapestry,spotify:artist:319yZVtYM9MBGqmSQnMyY6,Carole King,1971,https://i.scdn.co/image/ab67616d0000b27323350feac07f56d8b96f33d5,1,3,233173,https://p.scdn.co/mp3-preview/65a393c68256deeac86336dbba44691fee268702?cid=9950ac751e34487dbbe027c4fd7f8e99,False,72,USSM17100509,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"brill building pop,classic rock,folk,folk rock,mellow gold,singer-songwriter,soft rock",0.45,0.442,9.0,-12.718,0.0,0.0353,0.493,0.00564,0.134,0.812,208.282,4.0,,Ode/Epic/Legacy,"P Originally released 1971. All rights reserved by Ode Records. Originally released 1961, 1971. All rights reserved by Sony Music Entertainment. (P) 2007, 2008 Sony Music Entertainment.",1971-07-14,1,1,1,11,https://charts-static.billboard.com/img/1962/08/carole-king-x1k-180x180.jpg
spotify:track:4MVA30NmvNtpbDon1ZG7mk,Star Wars Theme/Cantina Band,spotify:artist:4MptlUxSUHf2QAW9JMrv4W,Meco,spotify:album:3RhVd2QtOoRhRGmCnptrOU,Music Inspired By Star Wars And Other Galactic Funk,spotify:artist:4MptlUxSUHf2QAW9JMrv4W,Meco,1977-01-01,https://i.scdn.co/image/ab67616d0000b273621560f7bcafead2c1df6a23,1,3,212306,https://p.scdn.co/mp3-preview/d3593647fe1d7e1a94520453629f4bd26be55cff?cid=9950ac751e34487dbbe027c4fd7f8e99,False,40,USUM71511789,spotify:user:bradnumber1,2021-08-08T09:26:31Z,,0.677,0.915,0.0,-3.859,1.0,0.0912,0.00121,0.916,0.322,0.545,124.929,4.0,,Island Def Jam,"C © 2015 Mercury Records, P ℗ 1999 Mercury Records",1977-09-28,1,8,1,9,#
spotify:track:4MVA30NmvNtpbDon1ZG7mk,Star Wars Theme/Cantina Band,spotify:artist:4MptlUxSUHf2QAW9JMrv4W,Meco,spotify:album:3RhVd2QtOoRhRGmCnptrOU,Music Inspired By Star Wars And Other Galactic Funk,spotify:artist:4MptlUxSUHf2QAW9JMrv4W,Meco,1977-01-01,https://i.scdn.co/image/ab67616d0000b273621560f7bcafead2c1df6a23,1,3,212306,https://p.scdn.co/mp3-preview/d3593647fe1d7e1a94520453629f4bd26be55cff?cid=9950ac751e34487dbbe027c4fd7f8e99,False,40,USUM71511789,spotify:user:bradnumber1,2021-08-08T09:26:31Z,,0.677,0.915,0.0,-3.859,1.0,0.0912,0.00121,0.916,0.322,0.545,124.929,4.0,,Island Def Jam,"C © 2015 Mercury Records, P ℗ 1999 Mercury Records",1977-10-05,1,1,1,10,#
spotify:track:7s25THrKz86DM225dOYwnr,Respect,spotify:artist:7nwUJBm0HE4ZxD3f5cy5ok,Aretha Franklin,spotify:album:5WndWfzGwCkHzAbQXVkg2V,I Never Loved a Man the Way I Love You,spotify:artist:7nwUJBm0HE4ZxD3f5cy5ok,Aretha Franklin,1967-03-10,https://i.scdn.co/image/ab67616d0000b2736aa9314b7ddfbd8f036ba3ac,1,1,147600,https://p.scdn.co/mp3-preview/7768dd513193e30ab1ad19deeff2dcc63d2c7555?cid=9950ac751e34487dbbe027c4fd7f8e99,False,80,USAT20801240,spotify:user:bradnumber1,2021-08-08T09:26:31Z,"classic soul,jazz blues,memphis soul,neo soul,soul,southern soul,vocal jazz",0.805,0.558,0.0,-5.226,1.0,0.041,0.164,2.2e-05,0.0546,0.965,114.95,4.0,,Rhino Atlantic,"C © 1967 Atlantic Recording Corp., manufactured and mareketed by Rhino Entertainment Company, a Warner Music Group company, P ℗ 1967 Atlantic Recording Corp., manufactured and mareketed by Rhino Entertainment Company, a Warner Music Group company",1967-05-31,1,2,1,6,https://charts-static.billboard.com/img/1967/04/aretha-franklin-0r8-respect-sny-180x180.jpg
